Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
300	-17193.4	-17200.1	6.69766	0.199726	0.157696	0.18272	0.206904	0.153126	0.165357	0.205888	0.183022	0.211554	0.147746	0.125219	0.126262	0.111748	0.131429	0.145109	0.146551	0.106494	0.161478	0.191165	0.104278	0.132381	0.127612	0.166737	0.0201189	0.0206685	0.0765802	0.0225835	0.00482986	0.0304602	0.00781786	0.0126782	0.00503763	0.0436239	0.0150163	0.0254877	0.00907865	0.000274829	0.0239951	0.0175247	0.00506742	0.0186479	0.0218836	0.0267422	0.22806	0.312047	0.0904311	0.369462	3.998318
310	-17199.8	-17205.8	5.95418	0.183953	0.167637	0.18555	0.176706	0.166681	0.176937	0.212476	0.187865	0.233829	0.167979	0.149009	0.141417	0.114164	0.104687	0.153515	0.110132	0.121144	0.162735	0.168355	0.111863	0.12568	0.118305	0.179172	0.0393886	0.0106683	0.0530571	0.0341739	0.00656236	0.0170326	0.00909085	0.00994833	0.00537774	0.0574466	0.025629	0.042755	0.0269294	0.000212895	0.0356961	0.0152016	0.0135955	0.0163424	0.0137273	0.020041	0.22806	0.312047	0.0904311	0.369462	4.072666
320	-17197.6	-17203.7	6.17933	0.22226	0.150108	0.19642	0.199122	0.149906	0.161943	0.198132	0.177419	0.214886	0.181462	0.135241	0.122607	0.108981	0.122922	0.164689	0.136745	0.132345	0.130998	0.182112	0.0917811	0.125965	0.111264	0.184129	0.0271316	0.0153694	0.0665873	0.0116006	0.00165831	0.0377104	0.0152784	0.0290951	0.0046788	0.0609836	0.0238023	0.0460553	0.00416917	9.67693e-05	0.0297957	0.0270175	0.00694835	0.0104698	0.00947495	0.0207914	0.235194	0.313042	0.0888327	0.362932	4.05015
330	-17198.3	-17203.7	5.38103	0.22226	0.191876	0.185233	0.184964	0.152343	0.167717	0.199537	0.195611	0.236789	0.156116	0.139047	0.127319	0.12791	0.131009	0.149544	0.128222	0.0952724	0.193196	0.206225	0.0978341	0.125682	0.123921	0.175221	0.0357502	0.0140398	0.0512707	0.0221646	0.000957773	0.0375124	0.00498265	0.0121265	0.00937481	0.0350698	0.00890639	0.0431543	0.016059	0.000424749	0.0314833	0.013351	0.00820798	0.0157625	0.0266497	0.0298842	0.232904	0.319731	0.0879678	0.359398	4.129981
340	-17192.4	-17198.5	6.12273	0.228248	0.155114	0.171061	0.188935	0.161173	0.159163	0.217956	0.189155	0.193354	0.158155	0.133485	0.125102	0.123121	0.108929	0.153239	0.13555	0.144454	0.163534	0.205815	0.0976336	0.133326	0.103428	0.202794	0.0489904	0.00557772	0.0574596	0.02105	0.000760611	0.0202452	0.0019298	0.0149204	0.0135071	0.0412859	0.0146011	0.0437881	0.0190089	0.00114602	0.0229023	0.0144484	0.0116955	0.0258586	0.00767371	0.0162366	0.232904	0.319731	0.0879678	0.359398	4.055811
350	-17196.2	-17202.4	6.23583	0.224364	0.15899	0.17111	0.186148	0.163084	0.163772	0.241591	0.181978	0.244213	0.155524	0.142782	0.124732	0.108334	0.109349	0.153239	0.137002	0.107747	0.147104	0.18488	0.0898588	0.132063	0.0985643	0.1875	0.030488	0.0084922	0.0438076	0.0279539	0.00369362	0.0473449	0.0039759	0.0214081	0.0160241	0.0461504	0.021656	0.043261	0.00559527	0.00297459	0.0325056	0.0160866	0.0050698	0.0227944	0.011502	0.019788	0.233564	0.320637	0.0853816	0.360417	4.044501
360	-17196.7	-17202.6	5.95325	0.200993	0.172936	0.179304	0.168975	0.163084	0.169337	0.223797	0.177899	0.239991	0.16662	0.143517	0.122353	0.117297	0.123705	0.178626	0.134619	0.122316	0.147104	0.183109	0.0898588	0.130296	0.137049	0.186032	0.028018	0.0180351	0.0652833	0.0131834	0.0082746	0.0223626	0.0128608	0.0064847	0.0228613	0.0344201	0.0187273	0.0461673	0.0109257	0.00204	0.0135509	0.0100487	0.0162105	0.0201721	0.00589376	0.0184196	0.225962	0.32344	0.0976857	0.352912	4.072758
370	-17198	-17204.8	6.72434	0.192477	0.172714	0.182815	0.189377	0.151671	0.191997	0.211933	0.184112	0.210119	0.13414	0.128746	0.12195	0.127356	0.123705	0.159182	0.13698	0.122156	0.139607	0.192445	0.101083	0.134086	0.0959158	0.186652	0.0269674	0.00618349	0.0446067	0.0170437	0.000729487	0.0333533	0.0127861	0.0189043	0.0212374	0.0433292	0.0389519	0.0391907	0.0100565	0.00624787	0.0289184	0.00481659	0.0107139	0.0073193	0.00639353	0.0266801	0.218848	0.320442	0.0934546	0.367255	3.995649
380	-17196.5	-17202	5.54938	0.235693	0.176118	0.173854	0.197137	0.155193	0.183528	0.203467	0.182879	0.194972	0.159531	0.169052	0.13028	0.117384	0.118731	0.171508	0.126385	0.133459	0.145245	0.182882	0.0853397	0.127458	0.144487	0.179318	0.0335548	0.0147291	0.0585249	0.0223894	0.00185512	0.0205677	0.00472886	0.0188009	0.0176063	0.0473562	0.025316	0.0218921	0.0116025	0.00255444	0.0245809	0.0179471	0.0179504	0.0206767	0.0113019	0.0253097	0.218101	0.319349	0.0965473	0.366002	4.113146
390	-17190.4	-17197.2	6.81187	0.198637	0.174894	0.192786	0.197137	0.135461	0.159357	0.225115	0.182879	0.195327	0.15178	0.161346	0.125268	0.118385	0.11539	0.137537	0.149833	0.114003	0.151087	0.182882	0.0901409	0.127904	0.105921	0.190842	0.0358005	0.00872967	0.0594073	0.0150299	0.00095218	0.0242029	0.00992567	0.0153006	0.0108491	0.0481956	0.027184	0.0393182	0.00906567	0.00101861	0.0245809	0.0207597	0.00169215	0.0115139	0.0117737	0.0276844	0.215303	0.320337	0.0972262	0.367134	3.986897
