Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
30	0	-15798.6	-15812.4	13.7205	0.115321	0.110962	0.099776	0.110031	0.114695	0.0774805	0.112167	0.0889838	0.117304	0.160475	0.0811408	0.074434	0.0838475	0.0846377	0.103693	0.120155	0.137485	0.0942067	0.110646	0.075187	0.0857368	0.081419	0.167092	0.0241284	0.0384415	0.0664994	0.0289017	0.0248776	0.0503404	0.0239903	0.0189586	0.0210528	0.0300989	0.0353558	0.0329465	0.0223488	0.0405634	0.0187758	0.04157	0.0482881	0.0523531	0.0507319	0.0397576	3.116857
31	1	-15805.3	-15817.3	11.9729	0.161773	0.099557	0.098496	0.0969249	0.122784	0.0982115	0.128679	0.0734788	0.109025	0.183177	0.0848835	0.0860318	0.0904844	0.0899502	0.109404	0.122247	0.123999	0.110408	0.123228	0.0703816	0.0985345	0.0722357	0.169084	0.0327792	0.0284581	0.015935	0.0440056	0.0476676	0.0404725	0.0334101	0.0370395	0.0399092	0.0327083	0.0301689	0.0215812	0.102692	0.0401373	0.0234821	0.0365586	0.0551061	0.0146018	0.0431891	0.048741	3.291621
32	0	-15806.7	-15818.2	11.5219	0.147314	0.0990378	0.114863	0.104212	0.114695	0.0689438	0.157812	0.0896138	0.116256	0.191044	0.092036	0.0969469	0.0915679	0.0960475	0.109897	0.121115	0.133185	0.113084	0.120887	0.0793354	0.0820542	0.0896939	0.15403	0.0225331	0.0280697	0.0779945	0.0263271	0.0130718	0.0377649	0.0278514	0.0388249	0.0269398	0.0325399	0.0327663	0.0554523	0.0289252	0.0441961	0.0176699	0.0506523	0.063977	0.0530448	0.0433526	0.0310959	3.336719
33	1	-15808.6	-15822	13.3566	0.109039	0.102974	0.110054	0.0995535	0.116364	0.0755948	0.121621	0.0955015	0.100067	0.131931	0.0853129	0.0774524	0.111619	0.108235	0.117268	0.12791	0.12342	0.101417	0.0970871	0.0812393	0.0989183	0.090927	0.130326	0.0475398	0.0239355	0.023123	0.031306	0.0459198	0.0271594	0.0249448	0.0425229	0.0296066	0.0170206	0.0269035	0.0297828	0.0904811	0.0445336	0.0364297	0.0430835	0.0625298	0.025295	0.0214077	0.0458905	3.153248
34	0	-15805.6	-15817.8	12.2819	0.121352	0.101228	0.117678	0.105528	0.109296	0.0791766	0.126429	0.0753848	0.104664	0.176285	0.0959376	0.0796418	0.106886	0.0960475	0.112159	0.141487	0.109023	0.111295	0.120887	0.0821653	0.110514	0.0697962	0.15612	0.0231618	0.0297512	0.0769561	0.0131345	0.0343622	0.0320086	0.0240978	0.0254527	0.0231783	0.0507817	0.031149	0.0435241	0.0277896	0.0527804	0.0329313	0.0482429	0.0639573	0.0472662	0.051871	0.0193388	3.260716
35	1	-15799	-15811.4	12.4204	0.134142	0.0821578	0.0897323	0.0932179	0.101425	0.0813347	0.130179	0.0793272	0.0914593	0.180721	0.0840549	0.0801995	0.105006	0.107293	0.102604	0.122776	0.132646	0.101417	0.129445	0.0987183	0.105233	0.082586	0.176982	0.0477455	0.0318251	0.0353828	0.0234073	0.0439766	0.0387545	0.020199	0.034361	0.0282408	0.0315202	0.0230567	0.0372897	0.0921264	0.0467562	0.0224318	0.0354076	0.0614878	0.0262922	0.0271796	0.0467665	3.246863
36	0	-15798.7	-15811	12.3309	0.12736	0.101228	0.100942	0.101976	0.135814	0.0926253	0.108925	0.0755369	0.104534	0.161511	0.0816387	0.0805615	0.112939	0.102749	0.115647	0.130517	0.145806	0.127401	0.112141	0.073984	0.0838177	0.0753577	0.171943	0.021033	0.038606	0.0850531	0.0236692	0.0255239	0.0353767	0.0196677	0.0371749	0.0159712	0.0373173	0.0477185	0.0462193	0.0380223	0.0452043	0.0314883	0.0426551	0.0422615	0.0441055	0.0272157	0.0265858	3.255823
37	1	-15805.2	-15818.6	13.3911	0.132805	0.0804149	0.0914364	0.0999657	0.126294	0.0877342	0.127286	0.0666671	0.0795767	0.192671	0.0742432	0.0936831	0.0770142	0.0997154	0.102386	0.134216	0.133697	0.11599	0.129445	0.0742623	0.0919308	0.0911968	0.152552	0.046612	0.0338432	0.0219234	0.0362579	0.0413635	0.0322378	0.0301912	0.0310415	0.0315711	0.0231167	0.0382633	0.0196801	0.0873661	0.0420852	0.00817656	0.0397355	0.0503781	0.0107456	0.0181268	0.0518967	3.149794
38	0	-15790.7	-15804	13.2776	0.113257	0.104628	0.108416	0.100602	0.123035	0.0832207	0.121235	0.0814835	0.106895	0.167526	0.0808081	0.0805615	0.100448	0.0938171	0.104355	0.127007	0.123956	0.10931	0.11826	0.0677141	0.0904963	0.0768521	0.161762	0.0222668	0.0231312	0.0835407	0.0256328	0.0287737	0.0431886	0.0191584	0.0297076	0.0147624	0.0273142	0.0374502	0.0416152	0.0300975	0.0552077	0.0296982	0.0463463	0.0500295	0.0334886	0.0518667	0.0222188	3.161144
39	1	-15810.9	-15824	13.058	0.156199	0.0893437	0.103689	0.106485	0.099613	0.0840667	0.137235	0.0732815	0.0751101	0.174298	0.101841	0.0660117	0.0818712	0.0817697	0.12617	0.138961	0.126095	0.112917	0.129445	0.0742623	0.0919308	0.0670338	0.176638	0.0266372	0.0250489	0.014554	0.0284301	0.0346302	0.03164	0.0171779	0.0359792	0.0301301	0.0319021	0.0263692	0.0204842	0.0920314	0.0530764	0.0170649	0.0588622	0.0531937	0.0189793	0.0370629	0.0555882	3.18311
