Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
300	-15375.2	-15389.4	14.2581	0.151777	0.104126	0.0900384	0.108402	0.10557	0.101731	0.115612	0.0710338	0.0828089	0.183836	0.0911589	0.105126	0.0986642	0.0971826	0.105801	0.124694	0.11514	0.108294	0.130918	0.0814395	0.0843224	0.0728851	0.165932	0.019873	0.0185842	0.0514847	0.0402862	0.022145	0.0390323	0.0410582	0.0131623	0.0298565	0.0729289	0.0274131	0.0250772	0.052544	0.042165	0.0672402	0.0302465	0.0377535	0.0386455	0.0260694	0.0502212	0.217332	0.293593	0.10482	0.384254	3.242277
310	-15376.1	-15390.1	14.0287	0.146172	0.106261	0.0872781	0.107505	0.107572	0.0946705	0.150999	0.082884	0.0905791	0.158365	0.0823354	0.0915235	0.0986642	0.0982283	0.130668	0.148582	0.132665	0.101185	0.11256	0.0814395	0.0965349	0.0792197	0.15433	0.0306687	0.0447059	0.0259504	0.0320011	0.0232775	0.0477849	0.0495471	0.0103176	0.018507	0.0729289	0.0269518	0.0220532	0.0461495	0.0358412	0.0716647	0.0338294	0.0328989	0.0369129	0.0203337	0.0426692	0.217332	0.293593	0.10482	0.384254	3.265215
320	-15382.5	-15398	15.487	0.120671	0.116936	0.0867411	0.107348	0.0925069	0.0895878	0.137536	0.0934782	0.0977859	0.154436	0.0727042	0.0797634	0.104718	0.0871466	0.0974239	0.151539	0.121872	0.0894193	0.121774	0.0531301	0.0883264	0.0959756	0.144806	0.0150519	0.0238392	0.0372729	0.0530209	0.0354504	0.0480914	0.0317159	0.0134324	0.0199262	0.0508575	0.0290464	0.0255692	0.0558864	0.0423736	0.0796412	0.0206238	0.0312749	0.032226	0.0165897	0.0518713	0.215834	0.298461	0.104098	0.381607	3.119388
330	-15380.1	-15396.1	15.9489	0.0988931	0.102073	0.0807374	0.104782	0.119755	0.0791159	0.146616	0.0660592	0.106713	0.17605	0.0707177	0.0772826	0.089956	0.0931	0.109935	0.112556	0.124308	0.103095	0.122611	0.0764122	0.100512	0.0663741	0.153313	0.0147567	0.0141868	0.028312	0.0352096	0.0317478	0.0397204	0.0367159	0.0121793	0.036358	0.0525064	0.0303507	0.0152863	0.0521653	0.0274992	0.10941	0.0169604	0.0466088	0.021131	0.0249526	0.0461722	0.215834	0.298461	0.104098	0.381607	3.073196
340	-15367.5	-15383.3	15.8343	0.110972	0.112937	0.0995095	0.0856718	0.108656	0.0905258	0.120359	0.0815345	0.09948	0.17685	0.0830596	0.0708977	0.0940688	0.106295	0.106513	0.111971	0.124308	0.114898	0.109866	0.0616189	0.0878909	0.0782181	0.152177	0.0268108	0.0246381	0.044556	0.0458498	0.0239572	0.0391334	0.0419513	0.0140227	0.0330005	0.0328182	0.0217654	0.0154345	0.0461514	0.0291325	0.0782487	0.0234649	0.0285561	0.0422741	0.0345532	0.0500578	0.215834	0.298461	0.104098	0.381607	3.084653
350	-15368.8	-15383.7	14.9349	0.117297	0.122075	0.0930653	0.114037	0.106225	0.086594	0.109589	0.0833429	0.101174	0.179085	0.0799106	0.0775551	0.126126	0.0843528	0.120151	0.13024	0.122008	0.114898	0.11627	0.0797284	0.0753893	0.0760171	0.175353	0.0265171	0.0129022	0.0226238	0.0416817	0.0308308	0.0411292	0.032176	0.0265716	0.0239213	0.0476543	0.0287334	0.0149274	0.0449696	0.0214856	0.0764733	0.020171	0.041401	0.039242	0.0317641	0.0589396	0.217492	0.300753	0.102673	0.379081	3.174598
360	-15375.1	-15390.6	15.5632	0.117297	0.0821101	0.0974914	0.0974258	0.0963801	0.0808744	0.107467	0.0769269	0.101201	0.170817	0.0776853	0.0984655	0.110672	0.0891909	0.108082	0.10949	0.123645	0.098523	0.123374	0.0644998	0.0850921	0.0735501	0.170207	0.0254138	0.0210773	0.0501564	0.0440414	0.0414049	0.0413048	0.034152	0.0110163	0.036535	0.0477677	0.0259282	0.0208951	0.0473244	0.0485006	0.0721018	0.0350213	0.0339395	0.0381734	0.0155531	0.0609885	0.217492	0.300753	0.102673	0.379081	3.111763
370	-15384.6	-15400.6	16.0419	0.111459	0.0878623	0.0739237	0.107763	0.0940737	0.0777722	0.113363	0.0850527	0.0952107	0.135767	0.075895	0.068828	0.08689	0.108558	0.108082	0.127507	0.141935	0.0981059	0.125735	0.0439376	0.10015	0.0871611	0.159915	0.0413456	0.0324584	0.0380291	0.0300478	0.0331812	0.0456054	0.0474496	0.0266345	0.0323872	0.0496673	0.0142289	0.0262147	0.0454057	0.0442992	0.084492	0.0247531	0.0314924	0.0483211	0.0204384	0.0324986	0.214811	0.309376	0.101406	0.374407	3.063896
380	-15382.9	-15398.1	15.2275	0.129673	0.100695	0.0933062	0.088534	0.0929764	0.0851231	0.125408	0.0543441	0.0842689	0.163017	0.0928556	0.0712951	0.0752768	0.0998118	0.0998236	0.149553	0.127004	0.130433	0.124032	0.0747676	0.10015	0.0913341	0.178748	0.0155485	0.0302973	0.0374299	0.0310651	0.0388031	0.0579052	0.0581899	0.0152508	0.0180127	0.0485163	0.00881232	0.0260036	0.0443955	0.0233486	0.0947892	0.0255847	0.0314924	0.0359912	0.0284587	0.0430079	0.215973	0.311051	0.10396	0.369016	3.145334
390	-15372.6	-15387.2	14.642	0.119271	0.117802	0.0947655	0.0909975	0.118103	0.0907416	0.125408	0.0690713	0.100139	0.154199	0.0664326	0.0754802	0.0850877	0.106683	0.116033	0.127089	0.139799	0.117263	0.130695	0.0760438	0.0936418	0.0897448	0.166277	0.0322839	0.0308965	0.0324532	0.0389373	0.0476587	0.0477777	0.0393157	0.00992382	0.030083	0.0603355	0.0147233	0.0120153	0.0418714	0.0335352	0.093303	0.0256447	0.0202329	0.0462573	0.0369151	0.0389523	0.216865	0.312335	0.100261	0.370539	3.203885
