Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
30	0	-15378.5	-15393	14.4652	0.111227	0.104031	0.112348	0.0896094	0.0950224	0.0777511	0.11617	0.082354	0.0923431	0.161488	0.09492	0.0600157	0.109444	0.100178	0.108174	0.124512	0.117888	0.110807	0.130367	0.0819897	0.0893036	0.110052	0.1743	0.0140987	0.0382691	0.0345989	0.054662	0.0358546	0.0555907	0.0414283	0.0320422	0.0396412	0.044084	0.0215652	0.0235743	0.0454245	0.0314722	0.0799075	0.0365859	0.0353955	0.0402773	0.0218125	0.0409828	0.212751	0.297175	0.106262	0.383812	3.221565
31	1	-15383.3	-15397.9	14.6303	0.128405	0.0798541	0.0973205	0.0977311	0.126087	0.106094	0.121423	0.0843492	0.0959247	0.190274	0.0807389	0.0863363	0.0741727	0.105871	0.0891553	0.104424	0.13608	0.106789	0.148548	0.0718964	0.094633	0.0992148	0.179071	0.0560482	0.033507	0.0302516	0.0207403	0.0864804	0.0405618	0.0420859	0.012569	0.0263949	0.0353109	0.0251001	0.0170234	0.0295037	0.0315874	0.024172	0.0471386	0.0302986	0.0519458	0.0261678	0.0337713	0.22307	0.292893	0.105061	0.378976	3.205052
32	0	-15373.2	-15388.5	15.3584	0.111227	0.102445	0.104055	0.106782	0.100148	0.0916692	0.126504	0.082354	0.0957915	0.209672	0.0614407	0.095131	0.079359	0.0918229	0.112805	0.124512	0.129906	0.105818	0.114641	0.0542504	0.0724127	0.0669845	0.151666	0.0271407	0.0259412	0.0322318	0.0438061	0.023838	0.0535517	0.0486774	0.0200069	0.0214056	0.0436676	0.030403	0.0139559	0.042215	0.0443197	0.0931736	0.0236809	0.0378581	0.0362445	0.0377466	0.0409828	0.212751	0.297175	0.106262	0.383812	3.132244
33	1	-15379.7	-15394.8	15.0112	0.11857	0.082667	0.102901	0.0989334	0.113988	0.0804581	0.112872	0.0891925	0.0917795	0.157967	0.0601263	0.097124	0.111797	0.102547	0.110863	0.109895	0.13608	0.111257	0.128399	0.0724553	0.0652755	0.0961546	0.158865	0.0413313	0.0384859	0.031616	0.0164883	0.0768074	0.0444362	0.043088	0.0112168	0.0320084	0.0373118	0.0225855	0.0433074	0.0329401	0.0374877	0.0398665	0.056597	0.0240459	0.0723408	0.0252138	0.0296197	0.217122	0.311892	0.102114	0.368871	3.166961
34	0	-15361.8	-15376.9	15.105	0.126509	0.0919495	0.0934562	0.106782	0.119659	0.0866616	0.113495	0.0702967	0.09442	0.161152	0.0848353	0.085368	0.103698	0.093627	0.0985137	0.124356	0.129385	0.12092	0.11293	0.0808947	0.0911849	0.0754174	0.166193	0.0267742	0.0208183	0.0352801	0.0325163	0.0281799	0.0461995	0.0513261	0.0218878	0.0303669	0.0473758	0.0214044	0.0113567	0.0503992	0.0422668	0.0677168	0.0369704	0.0301786	0.0449009	0.0352366	0.044722	0.212751	0.297175	0.106262	0.383812	3.157581
35	1	-15375.2	-15390.9	15.6222	0.119322	0.0959498	0.113555	0.0776676	0.109248	0.08445	0.107699	0.0734167	0.112316	0.172874	0.0716307	0.0778657	0.108905	0.107692	0.100492	0.107769	0.132612	0.0981686	0.106007	0.0776167	0.0930501	0.078651	0.165837	0.0521602	0.0420656	0.0233117	0.0220526	0.0777866	0.0338052	0.0481222	0.0150786	0.028245	0.0376574	0.0153292	0.0455342	0.0413296	0.0125142	0.0308056	0.0494931	0.0170901	0.0443428	0.0366015	0.0397413	0.217122	0.311892	0.102114	0.368871	3.105859
36	0	-15378.6	-15393.8	15.1879	0.102254	0.0893964	0.111161	0.106782	0.0931205	0.0833907	0.0958002	0.0648869	0.0923638	0.180945	0.0707279	0.0930884	0.0886159	0.0946934	0.0975897	0.119054	0.12509	0.121594	0.127735	0.0809253	0.108188	0.0871435	0.166193	0.0209983	0.02554	0.0379353	0.0632007	0.0251322	0.0463756	0.0315138	0.0243311	0.0252858	0.0537597	0.0140565	0.0135932	0.0416378	0.045991	0.095375	0.0351389	0.0387768	0.0271052	0.0258934	0.0569186	0.204373	0.300974	0.105934	0.388718	3.149297
37	1	-15375.6	-15391.1	15.4674	0.135978	0.106774	0.102074	0.0858191	0.107489	0.0872851	0.118736	0.0637544	0.102886	0.147299	0.0916449	0.0790652	0.0905835	0.089465	0.10415	0.108881	0.136675	0.121164	0.131738	0.0699999	0.108248	0.074318	0.143463	0.0454373	0.0496806	0.0260353	0.0276774	0.0773676	0.0293583	0.0402842	0.0152935	0.0206548	0.0236464	0.0244222	0.0424089	0.0434504	0.0212174	0.0296377	0.0482341	0.024615	0.0507436	0.0238809	0.0498114	0.217122	0.311892	0.102114	0.368871	3.121348
38	0	-15374.5	-15390.4	15.8702	0.122584	0.0801259	0.0969116	0.100624	0.127612	0.0808939	0.118704	0.0693864	0.0983301	0.146935	0.0667474	0.0761379	0.0939752	0.0946934	0.102076	0.111447	0.122874	0.121594	0.0993415	0.0733645	0.0814524	0.062997	0.158863	0.0332957	0.0367133	0.0329058	0.0445437	0.0213756	0.0533608	0.0426485	0.0285334	0.0350472	0.0635041	0.027442	0.0150734	0.0216439	0.037949	0.0920241	0.0256148	0.0358401	0.0389088	0.0359203	0.0510448	0.208854	0.307574	0.101828	0.381744	3.08106
39	1	-15377.1	-15392.5	15.4061	0.103279	0.0952313	0.102371	0.0899089	0.0978482	0.0866347	0.121873	0.0837526	0.0883259	0.171472	0.0904951	0.0821625	0.0876049	0.0949331	0.107981	0.115277	0.130158	0.123312	0.133485	0.0838592	0.0968053	0.0868635	0.145025	0.0552252	0.0338735	0.040117	0.0257954	0.0632646	0.0220969	0.0446105	0.0172331	0.0126101	0.0334293	0.0243906	0.0201985	0.043116	0.0211299	0.0438714	0.0554161	0.0236824	0.053299	0.0298997	0.0455534	0.209612	0.301104	0.107313	0.381971	3.127469
