Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
310	-14771.2	-14781.2	10.0021	0.12687	0.0835997	0.111268	0.104452	0.115232	0.0971528	0.115697	0.0973923	0.105903	0.196866	0.0637077	0.0912299	0.0933472	0.120725	0.104415	0.139655	0.107621	0.118799	0.112539	0.0709411	0.0816676	0.0781918	0.1783	0.0286624	0.022643	0.0352754	0.0339864	0.0350783	0.0230854	0.0454816	0.058009	0.0275163	0.0723957	0.0352002	0.094058	0.0409501	0.0491359	0.0268578	0.0250884	0.0424088	0.0243958	0.0473277	0.0482773	4.167222	0.261161	0.299025	0.0988572	0.340957	3.331405
320	-14765.5	-14774.8	9.29633	0.138144	0.0854398	0.123603	0.0921201	0.125725	0.0850452	0.13259	0.0937805	0.0973806	0.170958	0.0827674	0.0888808	0.0969978	0.120366	0.116163	0.145369	0.146057	0.113376	0.143081	0.0694721	0.0907986	0.0830458	0.200851	0.0219092	0.0329593	0.0319248	0.0558492	0.0305661	0.0126473	0.0594142	0.0675232	0.0195579	0.0553809	0.0423611	0.0851091	0.0152529	0.0367121	0.0200705	0.025092	0.054722	0.0142812	0.0286917	0.0569093	4.048649	0.272622	0.294408	0.0973307	0.33564	3.408945
330	-14773.1	-14782.8	9.67716	0.154575	0.104334	0.098447	0.111703	0.10933	0.0900987	0.128446	0.0848192	0.0758936	0.190668	0.0696573	0.105672	0.110445	0.101416	0.103762	0.1295	0.12678	0.121628	0.112458	0.0867218	0.113728	0.101048	0.17002	0.0181472	0.0367895	0.0227163	0.0377685	0.0409674	0.021329	0.0590004	0.0525523	0.0359454	0.0546218	0.0390245	0.0927726	0.0324433	0.0555462	0.016299	0.0282632	0.0295818	0.0126357	0.027028	0.0562777	4.048649	0.272762	0.29096	0.100465	0.335812	3.370861
340	-14770.3	-14782	11.6427	0.131695	0.0964592	0.0859101	0.0886481	0.108091	0.0776053	0.125695	0.0932991	0.0814345	0.194742	0.0959984	0.0668072	0.0988752	0.106236	0.117902	0.135895	0.132069	0.103961	0.125152	0.0701376	0.0931339	0.0619471	0.163579	0.0275611	0.0249113	0.0155787	0.0272466	0.0279182	0.0189759	0.0549859	0.0648997	0.0184079	0.0387636	0.0378371	0.101818	0.0324433	0.0307814	0.0257815	0.0287185	0.0503741	0.00562862	0.0351825	0.0512229	4.048649	0.278176	0.291445	0.094008	0.336371	3.174309
350	-14776.3	-14786.3	10.0114	0.137306	0.083506	0.1013	0.0977988	0.118623	0.0775667	0.136507	0.0859104	0.0826559	0.187059	0.0809384	0.0840353	0.105508	0.111513	0.0997379	0.0926057	0.118604	0.117027	0.136678	0.0933304	0.109236	0.0663491	0.209989	0.0258587	0.0334231	0.0282993	0.0396711	0.0257673	0.0172972	0.0538738	0.0448258	0.0386403	0.066945	0.0332068	0.0910493	0.0275551	0.0502497	0.0236488	0.0370795	0.0355957	0.00947606	0.0526596	0.0718277	3.993171	0.27239	0.293781	0.0947615	0.339067	3.340734
360	-14769.6	-14778.8	9.2679	0.16055	0.0967635	0.108125	0.087018	0.121818	0.0846641	0.109065	0.084539	0.0784283	0.187653	0.0806871	0.090488	0.132668	0.11012	0.117878	0.132212	0.140901	0.142192	0.132853	0.0694471	0.0984979	0.087551	0.20307	0.0228823	0.0417575	0.0253862	0.034817	0.0196902	0.00981569	0.0578735	0.0530598	0.0162901	0.0530378	0.0244168	0.0866989	0.0480404	0.0393758	0.0438927	0.0324359	0.0495737	0.023196	0.0287669	0.0463599	4.002113	0.27239	0.293781	0.0947615	0.339067	3.414554
370	-14780.1	-14790	9.88492	0.175673	0.11863	0.0987107	0.0909376	0.1107	0.092592	0.134637	0.0812795	0.0968481	0.176846	0.081748	0.0615833	0.0904164	0.117296	0.110219	0.118364	0.12135	0.135088	0.159318	0.0880892	0.087092	0.0991601	0.194474	0.0182795	0.034033	0.0426955	0.045931	0.0239088	0.0191257	0.0578735	0.0554323	0.0113189	0.0407299	0.0184835	0.0747912	0.0454811	0.0309081	0.0229555	0.0289857	0.0510705	0.0130019	0.0449284	0.0384307	3.892962	0.270861	0.292132	0.0998435	0.337164	3.359414
380	-14778.1	-14788.3	10.1984	0.149286	0.0979297	0.0869702	0.0958127	0.0850482	0.0666597	0.129257	0.0756163	0.0911705	0.171045	0.0797262	0.0888158	0.110167	0.111201	0.0988439	0.126929	0.096978	0.134434	0.119351	0.0971199	0.0877203	0.0950844	0.173943	0.0355949	0.0212403	0.0356848	0.0342366	0.0257945	0.0229505	0.0532908	0.0631668	0.0127933	0.0396686	0.0389812	0.11418	0.0375322	0.0607263	0.0407631	0.0425772	0.0336199	0.0179036	0.0492917	0.0548963	4.301978	0.270861	0.292132	0.0998435	0.337164	3.303999
390	-14766.7	-14776.5	9.80714	0.140557	0.0932209	0.0996747	0.0996465	0.0939046	0.0900737	0.119059	0.0737041	0.0911705	0.174072	0.0997767	0.0737904	0.136278	0.111201	0.120674	0.115856	0.154447	0.138143	0.143219	0.094981	0.0860746	0.0717015	0.174463	0.0316083	0.0271109	0.0222206	0.0368772	0.0370951	0.0225486	0.0414052	0.0596322	0.0144514	0.0473557	0.0415746	0.0839277	0.0288637	0.0421647	0.0395582	0.0336659	0.0376714	0.0181579	0.0448608	0.0566766	3.960594	0.270861	0.292132	0.0998435	0.337164	3.363114
400	-14773.4	-14781.9	8.54842	0.155604	0.0772859	0.114289	0.0871899	0.100561	0.0886207	0.129642	0.107276	0.0910158	0.185763	0.0747608	0.0969422	0.103899	0.11888	0.131964	0.115856	0.16329	0.135111	0.159307	0.0987185	0.0929602	0.0894037	0.189053	0.021902	0.0308795	0.024983	0.0460468	0.0358366	0.0368099	0.052922	0.049637	0.0161708	0.0500493	0.0336606	0.103439	0.0219072	0.0311738	0.0372223	0.0300326	0.0366602	0.0165128	0.0397848	0.0420062	4.371684	0.272818	0.294242	0.100565	0.332375	3.46503
