Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
30	0	-17210.6	-17217	6.42554	0.210121	0.164065	0.194726	0.214888	0.187024	0.160184	0.214911	0.183342	0.206746	0.137061	0.139875	0.127749	0.109204	0.0847063	0.156073	0.130908	0.131511	0.169517	0.168776	0.0818589	0.139164	0.113341	0.166078	0.0360262	0.0162231	0.0719127	0.0117112	0.00954115	0.0403093	0.00350801	0.00880481	0.0144023	0.022474	0.0171902	0.0242695	0.0159279	0.0141868	0.0285824	0.0176325	0.00345819	0.0247415	0.00607433	0.0467243	0.225244	0.328124	0.095625	0.351008	4.02553
31	1	-17374.6	-17378.7	4.14466	0.226124	0.199447	0.225912	0.19149	0.211425	0.165851	0.187437	0.201705	0.208706	0.162322	0.144027	0.116593	0.145796	0.126327	0.178288	0.133087	0.178396	0.142703	0.164113	0.170511	0.133966	0.167535	0.181266	0.00971983	0.00453497	0.0276256	0.00224634	0.0102101	0.0160523	0.0155889	0.0221896	0.0133569	0.0127247	0.00684287	0.0230013	0.0124556	0.0107407	0.000904186	0.0335347	0.00193515	0.0185488	0.0377413	0.010638	0.22633	0.323197	0.100158	0.350315	4.253618
32	0	-17205.4	-17210.8	5.38778	0.210121	0.170621	0.181018	0.202479	0.168811	0.165382	0.229546	0.227202	0.225335	0.135493	0.155945	0.14009	0.110277	0.0995697	0.141666	0.115512	0.114232	0.143336	0.196501	0.0990729	0.122065	0.126593	0.191756	0.0569289	0.0114438	0.0555468	0.0192138	0.0111691	0.0259186	0.00311695	0.0163297	0.0152581	0.0402106	0.0151257	0.0304126	0.0126797	0.00691915	0.0371759	0.0199137	0.00281682	0.0219148	0.00509166	0.0494954	0.228839	0.314321	0.0978104	0.35903	4.129306
33	1	-17378.9	-17383	4.12051	0.22285	0.208981	0.224451	0.202725	0.184423	0.186187	0.193603	0.176778	0.208706	0.172722	0.144027	0.11671	0.132602	0.126327	0.157651	0.13164	0.174787	0.126954	0.177051	0.152086	0.19302	0.159521	0.181266	0.0134474	0.00461997	0.0324466	0.00192174	0.0109888	0.0207048	0.0204178	0.00793016	0.0143112	0.00322066	0.010029	0.0148616	0.0125574	0.0283425	0.00103849	0.0192623	0.000723513	0.0316211	0.0407274	0.011792	0.228949	0.326936	0.0897481	0.354367	4.256033
34	0	-17199.1	-17205.9	6.80546	0.172103	0.150311	0.177332	0.219677	0.142574	0.162413	0.19886	0.179321	0.23782	0.162844	0.158322	0.119063	0.100203	0.120555	0.129948	0.138284	0.134801	0.158435	0.182638	0.0911095	0.122682	0.112694	0.204372	0.0298161	0.0112894	0.0495909	0.0148601	0.00430788	0.0346456	0.00211927	0.0156711	0.0153633	0.0331952	0.0258425	0.0368084	0.0145059	0.00375676	0.0322329	0.00852374	0.000976521	0.0242264	0.0257661	0.0276816	0.229452	0.315163	0.0953932	0.359992	3.987538
35	1	-17382.1	-17387.4	5.25952	0.197819	0.168995	0.225648	0.202725	0.19122	0.160318	0.197938	0.171666	0.196655	0.14403	0.131808	0.15859	0.135563	0.116555	0.149057	0.135994	0.177654	0.157937	0.194848	0.155645	0.163694	0.172936	0.171667	0.00910808	0.00895399	0.0280366	0.00251192	0.0129082	0.0163799	0.025816	0.00785852	0.0189806	0.0206133	0.00364494	0.00542894	0.00780098	0.0173222	0.00143783	0.0151591	0.00175317	0.0219176	0.0185803	0.0189564	0.225756	0.325939	0.0988804	0.349425	4.142132
36	0	-17200.6	-17206.1	5.52029	0.191583	0.186708	0.184508	0.210508	0.17682	0.206007	0.198603	0.179321	0.234138	0.162844	0.143544	0.127283	0.12551	0.109957	0.157169	0.150425	0.118489	0.14173	0.175928	0.0825017	0.135079	0.139136	0.184761	0.0422764	0.00417488	0.0556003	0.0234581	0.0054264	0.0367244	0.00551326	0.0033676	0.0233608	0.0309965	0.0203824	0.0215798	0.0211293	0.0038877	0.026665	0.0102634	0.000356011	0.0194455	0.0129771	0.0259151	0.236657	0.313369	0.0942597	0.355714	4.116055
37	1	-17390.6	-17394.3	3.70385	0.249362	0.224906	0.20286	0.190858	0.19122	0.186629	0.185947	0.180593	0.20469	0.184135	0.144001	0.098916	0.128115	0.116555	0.146096	0.152204	0.133129	0.153074	0.166526	0.172945	0.139131	0.178835	0.217351	0.00347268	0.00569338	0.023533	0.00789857	0.0326343	0.0232974	0.0184224	0.0081739	0.0243553	0.0140526	0.01806	0.0151176	0.0226349	0.0251114	0.000821522	0.025809	0.0106352	0.0300116	0.0309388	0.00894425	0.228294	0.329604	0.0887482	0.353354	4.297699
38	0	-17200.8	-17207.1	6.28968	0.211805	0.168849	0.167296	0.179497	0.14232	0.144709	0.237329	0.215119	0.218999	0.147265	0.138727	0.149917	0.113244	0.109957	0.16761	0.13643	0.118558	0.160414	0.184615	0.0846307	0.126193	0.145886	0.183237	0.0310829	0.00300576	0.0754158	0.0298958	0.00326618	0.0320339	0.0103691	0.00452695	0.0119291	0.0319798	0.011507	0.0276963	0.0119021	0.00544763	0.0252894	0.0161007	0.000318419	0.0300756	0.0146121	0.0100555	0.236657	0.313369	0.0942597	0.355714	4.039116
39	1	-17372.5	-17377.2	4.68882	0.236716	0.193022	0.211814	0.195507	0.19327	0.177729	0.184113	0.185306	0.183933	0.162162	0.144001	0.132277	0.125919	0.138828	0.135336	0.148499	0.130971	0.135426	0.166526	0.167855	0.135037	0.175659	0.205443	0.0166578	0.0051071	0.0268731	0.00359059	0.0195681	0.00921926	0.0308549	0.00904938	0.0396391	0.0224559	0.005211	0.0218762	0.0172761	0.0274312	0.00159647	0.0202404	0.00492518	0.0182742	0.0197674	0.0142409	0.228294	0.329604	0.0887482	0.353354	4.199202
