Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
310	-14778.9	-14788.8	9.82221	0.121043	0.119048	0.112143	0.0929727	0.113677	0.0898494	0.116408	0.0796544	0.0921547	0.180263	0.076391	0.105932	0.106399	0.0964781	0.0921712	0.13869	0.122593	0.10694	0.135553	0.0643559	0.100027	0.0985627	0.166101	0.0156695	0.0418741	0.0244954	0.018929	0.0433146	0.114546	0.0383994	0.0435893	0.0193168	0.0297928	0.0317401	0.0160642	0.0672992	0.0596388	0.0471803	0.0322879	0.0739458	0.0364996	0.04045	0.0413149	3.924891	0.284282	0.29228	0.0975503	0.325887	3.363755
320	-14780.3	-14789.7	9.38233	0.140103	0.0921334	0.13326	0.0961995	0.0951419	0.076483	0.135602	0.0830855	0.090185	0.180263	0.0990775	0.0768505	0.108969	0.0766722	0.132913	0.13732	0.134689	0.137922	0.130874	0.0684513	0.118823	0.0693496	0.158231	0.0263895	0.0500802	0.0203043	0.014959	0.0308972	0.115044	0.0222816	0.0441201	0.0291477	0.049513	0.0293709	0.0259979	0.052736	0.0791007	0.0569219	0.0294083	0.0510973	0.0385838	0.039302	0.0256783	3.995065	0.284282	0.29228	0.0975503	0.325887	3.403532
330	-14768.4	-14778.9	10.5481	0.13728	0.0948509	0.0967918	0.087191	0.105075	0.0829599	0.134829	0.0830855	0.0912307	0.160128	0.0780325	0.0768505	0.102769	0.134026	0.10443	0.128461	0.136773	0.139093	0.130874	0.0853224	0.0743306	0.075659	0.1794	0.0326471	0.0345427	0.0314731	0.0183922	0.0273207	0.0905306	0.0212345	0.0491011	0.0242549	0.0435682	0.0254467	0.0121282	0.0456211	0.0598551	0.0507265	0.0527117	0.0431179	0.0451981	0.0371313	0.0256783	3.942232	0.291003	0.282417	0.0982742	0.328306	3.290122
340	-14772.8	-14781.1	8.28724	0.131801	0.100808	0.114499	0.0944421	0.115641	0.0893971	0.167527	0.0804563	0.0958222	0.172595	0.0780325	0.0831976	0.114936	0.126473	0.108243	0.131672	0.136773	0.115206	0.161176	0.0957907	0.0828048	0.090609	0.220969	0.0303675	0.0404844	0.0307616	0.0271108	0.0272234	0.106325	0.0283716	0.0285127	0.0216597	0.0437201	0.0315121	0.0365864	0.0441962	0.058685	0.0513537	0.0176452	0.0490156	0.0561669	0.0235551	0.0408525	4.165714	0.26772	0.298478	0.099938	0.333864	3.502976
350	-14769.3	-14779.5	10.1957	0.128401	0.0894827	0.118924	0.0943034	0.0897115	0.0856183	0.138195	0.0729616	0.097024	0.201835	0.0690603	0.0912541	0.099165	0.124514	0.134032	0.110483	0.136773	0.120783	0.134392	0.0589555	0.0750702	0.090609	0.194013	0.0231295	0.0359351	0.0391864	0.0278334	0.0300305	0.0890686	0.0372401	0.0322566	0.0193066	0.0463232	0.024288	0.0249905	0.0581904	0.0694444	0.039234	0.0232516	0.0421727	0.0385674	0.0285062	0.027614	4.165667	0.266256	0.296847	0.104857	0.332039	3.31213
360	-14771.1	-14781	9.89528	0.12219	0.105667	0.105209	0.106872	0.0967321	0.0829237	0.106854	0.0940995	0.0868284	0.160997	0.0771005	0.0890231	0.0857515	0.115275	0.123183	0.175493	0.142716	0.120783	0.136195	0.066283	0.0891986	0.0763411	0.197752	0.0363531	0.0439712	0.0323479	0.0168533	0.0382878	0.0914722	0.0339543	0.0532206	0.0220154	0.0349773	0.0184068	0.026354	0.056607	0.0441309	0.0464439	0.0241634	0.0558138	0.0498624	0.0309988	0.0255263	4.113452	0.26565	0.296171	0.106895	0.331283	3.345229
370	-14764.2	-14774.6	10.4395	0.123656	0.0956182	0.0982056	0.0854392	0.113556	0.0655955	0.144902	0.075134	0.0886888	0.185957	0.0848422	0.0766085	0.0918329	0.115819	0.0971887	0.140323	0.149138	0.105751	0.127863	0.0912532	0.0964919	0.0884747	0.158703	0.0262575	0.028887	0.0309168	0.0264993	0.0174006	0.0983911	0.0273088	0.0476032	0.0191454	0.0471068	0.0247548	0.0275799	0.0490746	0.0635354	0.0531432	0.027892	0.0548558	0.0454327	0.035788	0.0306582	4.243078	0.280492	0.280951	0.10225	0.336308	3.283273
380	-14772.3	-14782	9.70677	0.133441	0.0956182	0.109965	0.104487	0.104252	0.0832459	0.160213	0.0814334	0.113094	0.207217	0.0848422	0.087843	0.102474	0.0932776	0.121821	0.126878	0.139098	0.129058	0.122326	0.0716975	0.0721193	0.0890618	0.176491	0.0230566	0.0398931	0.0163965	0.034904	0.0132324	0.0693853	0.0375615	0.0344615	0.024561	0.0461154	0.011099	0.0316059	0.0397075	0.0556629	0.0659717	0.0413848	0.0734864	0.0525413	0.0226719	0.0246054	4.042624	0.280492	0.280951	0.10225	0.336308	3.368258
390	-14771.7	-14781.6	9.96727	0.14526	0.105371	0.0990911	0.0850569	0.118979	0.0866141	0.134129	0.084038	0.0838826	0.185534	0.0870098	0.0768905	0.116797	0.115152	0.119237	0.121741	0.131894	0.115788	0.119293	0.0978399	0.103573	0.086645	0.163127	0.0321056	0.0394822	0.0184414	0.0171875	0.0255864	0.127079	0.0379707	0.0301898	0.0190492	0.0522952	0.00919821	0.0390838	0.0283302	0.0721177	0.063724	0.0199951	0.0416387	0.0279189	0.0341984	0.0235855	4.044095	0.280492	0.280951	0.10225	0.336308	3.342121
400	-14765.9	-14776.3	10.3511	0.130076	0.105371	0.11503	0.0918353	0.111963	0.0799635	0.121849	0.0731057	0.097957	0.190781	0.0745853	0.0772338	0.0765946	0.123151	0.0961923	0.116444	0.120206	0.119299	0.133259	0.0762416	0.0869714	0.0912686	0.173879	0.025596	0.0382051	0.0360517	0.022815	0.0328466	0.104966	0.0507518	0.0290952	0.025042	0.0567414	0.0179001	0.0194683	0.0618651	0.0488049	0.0599799	0.0400415	0.0490796	0.0431962	0.0224342	0.032711	4.093054	0.280492	0.280951	0.10225	0.336308	3.30085
410	-14780.4	-14790.5	10.1036	0.133162	0.0920363	0.0888348	0.0921465	0.116625	0.074374	0.122229	0.0776625	0.0638053	0.189954	0.0929152	0.0914757	0.0993337	0.111023	0.0838163	0.155171	0.117378	0.107959	0.115093	0.0893617	0.0769596	0.083431	0.230646	0.0420791	0.0391605	0.0271419	0.02661	0.0465521	0.100459	0.0270163	0.0571955	0.0132787	0.0510631	0.0139554	0.0319753	0.0546856	0.0545326	0.0678191	0.0439795	0.0437133	0.0358405	0.0279814	0.0197485	4.015658	0.280492	0.280951	0.10225	0.336308	3.330181
