Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
31	1	-14771.2	-14781.8	10.6431	0.108294	0.0880909	0.112878	0.0964732	0.129858	0.0791472	0.117554	0.0936842	0.0960506	0.178735	0.0689099	0.0847038	0.0961613	0.102577	0.118538	0.141187	0.146377	0.118304	0.128542	0.0663796	0.0682399	0.0828711	0.167271	0.0310054	0.029252	0.0370615	0.0267858	0.0290667	0.0960768	0.0332276	0.0377337	0.0147492	0.0430152	0.0201357	0.0248229	0.0506379	0.0662395	0.0419603	0.0444424	0.0375548	0.038638	0.0232979	0.0326	4.486132	0.286127	0.288875	0.0906607	0.334337	3.24913
32	0	-14769.9	-14780.9	11.0056	0.144558	0.10502	0.10108	0.0799922	0.10262	0.067671	0.136847	0.0881038	0.0763644	0.172915	0.0879922	0.0849835	0.117672	0.0894421	0.126178	0.128808	0.125708	0.13216	0.14262	0.0714646	0.0896318	0.0903667	0.175068	0.0312096	0.0147732	0.0366722	0.0175029	0.0255254	0.0581508	0.0404101	0.0921365	0.0412981	0.0372536	0.0465834	0.0333961	0.046626	0.0363843	0.0314768	0.0307227	0.0181125	0.0377534	0.0193058	0.0209071	3.792711	0.271128	0.292856	0.0944278	0.341588	3.253467
33	1	-14777.7	-14787.7	10.0634	0.141757	0.112201	0.105368	0.0858291	0.114931	0.0942707	0.141231	0.0770274	0.087169	0.207564	0.0765319	0.0961723	0.110718	0.14742	0.0934798	0.138686	0.127521	0.117633	0.125775	0.0765919	0.0928244	0.0809945	0.162568	0.0196664	0.0264167	0.0306054	0.0275094	0.0318934	0.0650731	0.0305067	0.0416695	0.016263	0.0274876	0.0348307	0.0324958	0.0588968	0.048745	0.055729	0.0386334	0.0671052	0.0324579	0.0367856	0.0170785	3.689005	0.284195	0.286925	0.0968015	0.332079	3.354114
34	0	-14765.9	-14777.5	11.5629	0.14584	0.0903919	0.089817	0.0799922	0.107901	0.0891328	0.116613	0.0888058	0.0852124	0.173873	0.0828393	0.0848893	0.0931651	0.0919114	0.102821	0.141874	0.130035	0.135954	0.107633	0.0556882	0.0942935	0.0792093	0.176516	0.0307001	0.0310044	0.024524	0.0231945	0.0231428	0.0546549	0.0538416	0.0794305	0.0396175	0.0442858	0.0450382	0.0430383	0.0420358	0.0429418	0.0417679	0.0429364	0.0140715	0.0376497	0.0188772	0.020579	3.792711	0.271615	0.293381	0.0928027	0.342201	3.19774
35	1	-14768.1	-14778.5	10.4029	0.132607	0.112201	0.108134	0.101754	0.0973781	0.0854676	0.141231	0.0839395	0.0822057	0.174007	0.0817196	0.081519	0.0927214	0.113165	0.102535	0.166239	0.130481	0.121419	0.131638	0.0611206	0.102122	0.0897778	0.181159	0.0438767	0.0429811	0.0162025	0.0308966	0.0138137	0.103358	0.0426371	0.0454778	0.010029	0.0341961	0.0254388	0.0139335	0.0541789	0.0461827	0.0531525	0.0242022	0.0620191	0.0280259	0.026125	0.0288955	3.689005	0.275324	0.291697	0.0953756	0.337603	3.320164
36	0	-14769.9	-14779.8	9.93864	0.145785	0.109507	0.113552	0.0948232	0.106559	0.0864946	0.153621	0.0908625	0.120546	0.173873	0.0828393	0.0885644	0.122723	0.116627	0.117089	0.122866	0.121302	0.108726	0.111518	0.0908674	0.0916573	0.087799	0.199698	0.0179564	0.0276442	0.0367963	0.0242494	0.00892398	0.0572995	0.0506676	0.0994229	0.026557	0.0355123	0.0454057	0.0228298	0.0319957	0.0449968	0.0381778	0.035105	0.0187098	0.018599	0.0349784	0.0142738	3.993375	0.271615	0.293381	0.0928027	0.342201	3.348001
37	1	-14766.9	-14776.2	9.37727	0.132607	0.10529	0.113085	0.0996683	0.131635	0.0716603	0.123536	0.0943695	0.111141	0.155522	0.0779549	0.0984388	0.101582	0.104777	0.0980522	0.134192	0.123914	0.113328	0.129369	0.0992478	0.102066	0.0847946	0.227021	0.0287827	0.0389844	0.0312949	0.0229545	0.0193819	0.0935622	0.0485469	0.043702	0.0138423	0.041194	0.0242505	0.0281152	0.0507924	0.0597563	0.0471212	0.0269921	0.0605097	0.0332387	0.0242599	0.0235719	4.163447	0.274862	0.292887	0.0952154	0.337036	3.394106
38	0	-14775.5	-14785.5	10.0356	0.144923	0.0820478	0.11032	0.115305	0.129134	0.0725738	0.146889	0.0878831	0.104671	0.184523	0.0716703	0.0814735	0.0893656	0.124657	0.115037	0.120106	0.108436	0.111625	0.131371	0.0854998	0.0867248	0.0798858	0.204776	0.0171018	0.0200762	0.0183284	0.0100293	0.0250991	0.0407478	0.0592467	0.112772	0.0407934	0.0431826	0.0525259	0.0361391	0.0610888	0.0347102	0.0190467	0.0518915	0.0255578	0.0185964	0.0252176	0.0394717	3.956364	0.271615	0.293381	0.0928027	0.342201	3.34052
39	1	-14773.6	-14784.2	10.646	0.160948	0.0897864	0.112021	0.0990622	0.080705	0.115932	0.124816	0.0862469	0.0839646	0.164687	0.065511	0.0859082	0.106678	0.0803682	0.105732	0.121409	0.147475	0.122429	0.124027	0.0906429	0.0891896	0.0955514	0.167709	0.0347606	0.0311322	0.0234938	0.0128452	0.0252685	0.101463	0.0351655	0.0313858	0.0124396	0.0314955	0.0292764	0.0247474	0.0561807	0.0641433	0.0564375	0.03466	0.0494869	0.0477292	0.0166137	0.0310216	4.10687	0.274862	0.292887	0.0952154	0.337036	3.270544
40	0	-14769.2	-14778.8	9.59948	0.128832	0.104568	0.117266	0.111308	0.133299	0.081311	0.110795	0.090497	0.10385	0.185976	0.0879105	0.093991	0.122232	0.119484	0.115037	0.129804	0.123858	0.111625	0.13566	0.0800139	0.079403	0.0766687	0.189415	0.0292242	0.0321268	0.0240986	0.0304758	0.0236335	0.0614353	0.0594767	0.0976195	0.0319385	0.0178111	0.0622805	0.025161	0.0427696	0.0361606	0.0358642	0.0486347	0.025328	0.0186905	0.0323351	0.0226554	3.850723	0.271615	0.293381	0.0928027	0.342201	3.390525
