Iteration	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
300	-15374.8	-15390.5	15.7092	0.151344	0.0973388	0.1147	0.0875888	0.115707	0.073324	0.130845	0.0851615	0.102812	0.157685	0.090952	0.0727113	0.0920916	0.0833717	0.111489	0.130502	0.124111	0.0992986	0.114067	0.063016	0.0807518	0.0865517	0.143276	0.0675268	0.0383888	0.0150799	0.0496887	0.0374648	0.0283317	0.0188295	0.030156	0.0401652	0.0547748	0.0128842	0.0381944	0.0273412	0.0515552	0.0241072	0.0336578	0.0249523	0.035011	0.0349359	0.0254244	0.202146	0.31203	0.105786	0.380038	3.097166
310	-15378.1	-15394.1	15.9999	0.118051	0.120239	0.1147	0.109284	0.12284	0.0712706	0.105493	0.0829647	0.0772365	0.154294	0.0774776	0.0658479	0.0901048	0.0995862	0.110501	0.149899	0.128034	0.110615	0.11068	0.0898379	0.0822307	0.0768769	0.143276	0.0720364	0.0408894	0.0288404	0.0476472	0.0246247	0.0315795	0.0380204	0.0202071	0.0398629	0.030929	0.0245722	0.047098	0.0259435	0.0385247	0.0211698	0.0256991	0.0241767	0.0208547	0.0276927	0.0263863	0.221413	0.304125	0.0990459	0.375416	3.068094
320	-15372.2	-15386.9	14.7254	0.137794	0.120233	0.0976333	0.0829148	0.119541	0.07588	0.101358	0.0819888	0.101875	0.175834	0.0732514	0.077878	0.0936812	0.10363	0.110181	0.143455	0.139373	0.110615	0.123931	0.089601	0.0943116	0.0725551	0.15073	0.0812778	0.0591148	0.016073	0.0600066	0.0288243	0.0335626	0.0298702	0.017538	0.0303023	0.0385404	0.0208102	0.0536058	0.0373565	0.0363349	0.0256293	0.0223141	0.0414337	0.0355308	0.0234971	0.0256799	0.221413	0.304125	0.0990459	0.375416	3.195547
330	-15375.6	-15390.4	14.8163	0.138865	0.110957	0.076195	0.104748	0.125493	0.0815663	0.151511	0.0787351	0.0828837	0.158534	0.0853619	0.0705096	0.0955466	0.0981225	0.109074	0.150465	0.137268	0.121111	0.116958	0.0657773	0.0652046	0.0767167	0.178334	0.0732207	0.0457894	0.0281873	0.066029	0.0373654	0.0390467	0.0303208	0.0358787	0.0307095	0.0315956	0.0270236	0.0348119	0.0313233	0.0432538	0.0289742	0.0229562	0.0275303	0.0263833	0.032388	0.0137331	0.218381	0.299961	0.0976896	0.383969	3.186459
340	-15375.9	-15391.2	15.2343	0.142594	0.110957	0.0905058	0.0953911	0.0949744	0.0716046	0.120163	0.0813129	0.0883907	0.147152	0.063952	0.0946587	0.0926322	0.0783443	0.127378	0.148896	0.117762	0.103006	0.122654	0.0663886	0.089154	0.0878637	0.173188	0.0983189	0.0468229	0.0393324	0.048688	0.054195	0.0323456	0.0287173	0.0283059	0.0367779	0.0371949	0.0120015	0.0468722	0.0309305	0.0413227	0.0161085	0.0212227	0.0309958	0.0271985	0.030237	0.0281416	0.219276	0.299617	0.0975777	0.383529	3.144651
350	-15380.4	-15394	13.5981	0.112263	0.101921	0.107472	0.122694	0.0962232	0.097184	0.115455	0.0962131	0.0887135	0.182541	0.0804628	0.098743	0.112221	0.0949007	0.124917	0.178898	0.126983	0.104863	0.122654	0.0741934	0.0893739	0.0745193	0.1792	0.0954729	0.0468229	0.0233258	0.0384038	0.0366598	0.0377221	0.0425625	0.0213952	0.0344606	0.0511048	0.018677	0.0522431	0.0440644	0.035189	0.0409143	0.0205906	0.0266068	0.0271157	0.0205054	0.011825	0.217566	0.30508	0.0968166	0.380537	3.30827
360	-15367.6	-15383.7	16.0658	0.108887	0.109702	0.0905396	0.0782368	0.105884	0.0936358	0.11469	0.0810833	0.0832087	0.138507	0.0863424	0.0875329	0.100527	0.0852664	0.107619	0.127963	0.140487	0.103807	0.107575	0.0665234	0.0893739	0.0726604	0.173997	0.0704548	0.0491904	0.025218	0.0473715	0.0425347	0.0370596	0.0232636	0.0217346	0.044094	0.0427166	0.0268915	0.051076	0.0391323	0.042937	0.0244866	0.031415	0.0266093	0.0253194	0.0240262	0.0119275	0.220413	0.295986	0.0980836	0.385517	3.061508
370	-15374.8	-15390.8	16.0487	0.139691	0.0824672	0.101199	0.0949844	0.101932	0.0713086	0.120609	0.0665901	0.103023	0.164027	0.0863424	0.0787642	0.0872484	0.101004	0.119382	0.116733	0.134103	0.0895061	0.109372	0.082435	0.0746742	0.0798162	0.175025	0.0794483	0.0515462	0.0203173	0.0666474	0.0539861	0.0324143	0.0226178	0.0251268	0.02857	0.0435897	0.0216786	0.0281021	0.0311488	0.0315112	0.0252831	0.0119441	0.0410156	0.0210428	0.0263055	0.020676	0.225058	0.281149	0.100151	0.393642	3.063209
380	-15383	-15397.6	14.6293	0.126723	0.125957	0.117301	0.097264	0.105137	0.0715145	0.116969	0.0662945	0.0939362	0.183297	0.100874	0.0862704	0.110529	0.0889484	0.0787483	0.141008	0.134103	0.107677	0.103236	0.0819058	0.0789521	0.0996343	0.152562	0.0767636	0.049009	0.0287268	0.0615383	0.0506623	0.0361003	0.0196935	0.0291216	0.0257491	0.0471256	0.0299729	0.0492592	0.0420743	0.0478602	0.0345267	0.0115492	0.0352632	0.0327892	0.0152913	0.0132399	0.224422	0.280353	0.0998675	0.395357	3.205156
390	-15373.8	-15389.4	15.6329	0.120434	0.106863	0.0914727	0.113246	0.0933419	0.104541	0.12536	0.0805162	0.0949945	0.171915	0.0803412	0.0609956	0.106996	0.0936177	0.122819	0.14499	0.113266	0.100661	0.121202	0.0645383	0.0744772	0.0850334	0.163152	0.0639245	0.0394258	0.0187743	0.0369775	0.0377878	0.0399913	0.0229662	0.0367736	0.039019	0.0456819	0.0247644	0.0343948	0.0412192	0.0530598	0.0301646	0.00970847	0.030858	0.0282075	0.0277077	0.00861135	0.214513	0.297269	0.099449	0.388769	3.104792
