Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
30	0	-15808.4	-15821.2	12.8274	0.125624	0.0892379	0.102102	0.0943228	0.134022	0.0919152	0.135569	0.086569	0.110178	0.172927	0.0803471	0.0892635	0.089498	0.0901975	0.0810149	0.112428	0.102912	0.116451	0.115713	0.0751798	0.0937738	0.0867593	0.170852	0.0275737	0.0419685	0.0186119	0.0268087	0.0512471	0.0363614	0.0771362	0.024727	0.0491011	0.0167982	0.0425101	0.0298111	0.0696931	0.028106	0.0377174	0.0283626	0.0233092	0.0417723	0.0557858	0.0319064	3.206165
31	1	-15810.4	-15822.1	11.647	0.1405	0.0951994	0.129841	0.0910625	0.116142	0.0688982	0.124881	0.0788561	0.0812468	0.152071	0.0825468	0.101803	0.112518	0.11418	0.117801	0.133336	0.143289	0.107386	0.122509	0.0627943	0.0919522	0.0863041	0.188711	0.0283746	0.033644	0.0250312	0.0333578	0.0420202	0.0586627	0.0570408	0.0186215	0.0260744	0.0571374	0.0232282	0.0233515	0.022525	0.027827	0.0349618	0.102113	0.014941	0.0572557	0.070302	0.0239057	3.324204
32	0	-15811	-15823.2	12.1989	0.153577	0.0906407	0.0769768	0.100707	0.10508	0.0999118	0.127952	0.0846443	0.100578	0.172927	0.0709816	0.0994912	0.0825875	0.0988749	0.112526	0.115065	0.123405	0.116451	0.109796	0.083174	0.0718739	0.0883536	0.177745	0.0357633	0.0341882	0.0282697	0.0397869	0.0549442	0.0179236	0.0884678	0.0229898	0.0365678	0.0189492	0.0449674	0.0319436	0.0502414	0.0195494	0.0624004	0.0389004	0.0608022	0.0306723	0.0473548	0.0410151	3.269018
33	1	-15806.4	-15817.3	10.8943	0.128582	0.0996013	0.103117	0.0881076	0.132011	0.0968472	0.132558	0.0926575	0.0887563	0.175957	0.078643	0.0859804	0.103771	0.116754	0.107921	0.119774	0.124572	0.115451	0.141623	0.0685649	0.0966915	0.0922214	0.17981	0.0275007	0.0343839	0.0436307	0.0246884	0.0494792	0.0467458	0.0514353	0.0233474	0.0305452	0.0560893	0.0218132	0.0240669	0.0344362	0.0353591	0.0456283	0.110392	0.0341351	0.0443357	0.0547594	0.0367347	3.399478
34	0	-15805	-15819.2	14.2837	0.113555	0.0911084	0.1034	0.0907401	0.0949821	0.0808331	0.109046	0.0762352	0.0963775	0.165609	0.0864477	0.0787594	0.0913626	0.0988749	0.0986752	0.124888	0.129924	0.0855625	0.114722	0.0605401	0.0900742	0.0768549	0.183678	0.0145122	0.0249195	0.0185724	0.0256981	0.0515104	0.0122031	0.0912611	0.0243675	0.0437935	0.0171492	0.0346176	0.025629	0.0583335	0.0253826	0.0604465	0.0264488	0.0252943	0.0487662	0.0471266	0.042251	3.060533
35	1	-15800	-15813.1	13.076	0.136159	0.0967899	0.116655	0.0849476	0.10521	0.0761691	0.11363	0.0798272	0.119678	0.1653	0.0852464	0.105918	0.10862	0.0885121	0.107544	0.102659	0.13228	0.107431	0.119998	0.0828268	0.0798809	0.0780453	0.17417	0.0395167	0.0284767	0.0265928	0.0320112	0.0397347	0.0431685	0.0549767	0.0167301	0.0341476	0.0521011	0.0184011	0.0144286	0.0285821	0.0333642	0.0457822	0.0856618	0.0243311	0.0349784	0.0479763	0.0128522	3.181311
36	0	-15807.2	-15819.9	12.6986	0.118293	0.0991551	0.111994	0.0935227	0.094651	0.0718741	0.128369	0.0782396	0.0996068	0.147402	0.0949079	0.0743434	0.122143	0.0973436	0.107172	0.137103	0.120122	0.115938	0.131804	0.07147	0.10543	0.0686247	0.183284	0.0265746	0.0285471	0.0220562	0.0316359	0.0512539	0.0320308	0.0878403	0.0265895	0.046915	0.0184075	0.0345976	0.0251431	0.0384525	0.0260674	0.0660312	0.0422814	0.0299152	0.0333785	0.0328378	0.0456958	3.219046
37	1	-15808.7	-15820.8	12.1206	0.153365	0.0951256	0.106969	0.111608	0.111449	0.085579	0.0881459	0.0711534	0.10972	0.181851	0.0868862	0.0675685	0.119091	0.0890298	0.11548	0.102476	0.131416	0.117341	0.103241	0.0865505	0.0945999	0.0851276	0.178276	0.0414102	0.021937	0.039594	0.0365517	0.0351988	0.0548471	0.0651937	0.0189567	0.0332846	0.0530068	0.0174774	0.0348696	0.0339443	0.0378171	0.0419637	0.0723843	0.0175404	0.0393132	0.0637122	0.0257978	3.276849
38	0	-15804	-15817	12.9775	0.123128	0.095759	0.0950309	0.0830105	0.104857	0.0783972	0.156972	0.0809448	0.101387	0.179356	0.0871919	0.090147	0.0872947	0.0833694	0.115071	0.131506	0.131394	0.0998575	0.105348	0.0788641	0.0864887	0.0858327	0.165167	0.0199644	0.0424113	0.0306534	0.0315474	0.0466294	0.0327969	0.0862762	0.0259218	0.0315384	0.0223826	0.0393604	0.0325942	0.0432514	0.0292529	0.0632887	0.0148839	0.0233435	0.0410612	0.0475662	0.0400571	3.191157
39	1	-15806.4	-15818	11.6196	0.145539	0.0901386	0.102557	0.108145	0.134858	0.0737414	0.137894	0.0754689	0.0935288	0.175634	0.0694646	0.0975709	0.0938823	0.0970383	0.123615	0.111626	0.152076	0.0945944	0.124402	0.0810357	0.0942768	0.0860579	0.190128	0.0383504	0.0330659	0.0426494	0.0276376	0.0382281	0.0459771	0.0553439	0.026483	0.0411619	0.0640489	0.0241162	0.0191194	0.0255218	0.039783	0.0417827	0.0995722	0.00876737	0.0438891	0.0446907	0.0134865	3.32695
40	0	-15808	-15819.9	11.8401	0.148162	0.0827303	0.0978039	0.10189	0.126099	0.0951488	0.126032	0.0761914	0.0854878	0.184306	0.0744156	0.0873947	0.109529	0.0998722	0.0938584	0.132712	0.129368	0.109688	0.115463	0.0904331	0.0625027	0.0874242	0.189338	0.0408436	0.0221409	0.0288565	0.0295003	0.0466294	0.0293259	0.0819842	0.0315064	0.0553381	0.0270785	0.0473676	0.0304721	0.0574483	0.0305074	0.0559167	0.0347284	0.0188157	0.0413324	0.0460561	0.0431981	3.304896
