Iteration	Replicate_ID	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TL
30	0	-14760.4	-14770.9	10.4983	0.129765	0.0982087	0.108784	0.0930034	0.114172	0.0776887	0.138177	0.0709102	0.0945216	0.184461	0.0810271	0.0831838	0.109789	0.0967652	0.126723	0.136685	0.125683	0.121397	0.138942	0.0793849	0.0778663	0.0953533	0.169824	0.0459244	0.0110566	0.0424153	0.0499993	0.0334729	0.042128	0.0236258	0.0282066	0.0362746	0.0221722	0.0981035	0.0423657	0.0125546	0.0631436	0.0245859	0.0196573	0.02218	0.0257393	0.0413697	0.0546324	3.995299	0.285245	0.284897	0.103054	0.326804	3.291923
31	1	-14768.3	-14777.5	9.22414	0.135662	0.0910387	0.0920537	0.0905065	0.120729	0.0889361	0.145497	0.0769487	0.0814006	0.20887	0.0620898	0.078709	0.100325	0.119296	0.103458	0.129501	0.144611	0.13148	0.12156	0.0984069	0.107867	0.0939368	0.182319	0.0322182	0.036364	0.0174825	0.0198854	0.0421084	0.0327597	0.0411895	0.0168348	0.0399716	0.0496915	0.0441161	0.0492462	0.0303937	0.051842	0.056302	0.0934709	0.0146593	0.0456192	0.0384778	0.0532069	4.135675	0.259104	0.303696	0.0997509	0.337449	3.411041
32	0	-14774.9	-14786.2	11.3268	0.160379	0.0982087	0.0961956	0.0789468	0.109554	0.0773148	0.124907	0.0917061	0.0922843	0.184461	0.0763215	0.0728603	0.112034	0.0996247	0.112125	0.120643	0.132933	0.0929186	0.119732	0.0692654	0.105757	0.0918627	0.148593	0.0294262	0.0158357	0.03737	0.0446346	0.0437848	0.0187307	0.0368582	0.0259354	0.025083	0.0199785	0.106829	0.0463168	0.0233091	0.0426676	0.0266958	0.0353643	0.043097	0.0462488	0.0374939	0.0347876	3.995299	0.288837	0.288451	0.0917934	0.330919	3.209075
33	1	-14775	-14786.5	11.5231	0.137508	0.0849181	0.109918	0.0821311	0.120423	0.0703031	0.12111	0.0887701	0.0852517	0.176951	0.075005	0.084279	0.115882	0.094243	0.0922282	0.144005	0.13535	0.141087	0.13154	0.0931335	0.07282	0.0652162	0.182319	0.0232451	0.0361004	0.032924	0.016583	0.0339893	0.0139404	0.0306226	0.0257489	0.0144716	0.033211	0.0447757	0.0393997	0.0390695	0.0674616	0.0411679	0.0855374	0.0215706	0.0397676	0.0215727	0.0496558	3.576993	0.275454	0.296994	0.0975495	0.330002	3.215208
34	0	-14767.8	-14778.6	10.8137	0.144193	0.0915474	0.106606	0.093248	0.0902469	0.0872662	0.140222	0.0747698	0.0890448	0.19703	0.0558111	0.0854502	0.111124	0.106536	0.10435	0.127179	0.139434	0.139712	0.136744	0.0717628	0.0876339	0.0710696	0.145984	0.0418178	0.0152768	0.0617324	0.0672843	0.0303654	0.0185104	0.0300123	0.0280998	0.0307353	0.0242041	0.0845015	0.0478761	0.016558	0.0592802	0.0211931	0.0320147	0.0312338	0.0181833	0.0394848	0.060195	4.077224	0.286669	0.286285	0.0911043	0.335942	3.255522
35	1	-14781.7	-14792.5	10.8058	0.138128	0.0913662	0.107336	0.0887887	0.139922	0.0626301	0.123109	0.0887867	0.0783159	0.201754	0.064824	0.0657485	0.0931349	0.100092	0.0922282	0.131661	0.172319	0.102578	0.133576	0.0876946	0.0754946	0.112306	0.160984	0.0372535	0.021491	0.0525829	0.0160518	0.0244593	0.0459713	0.0428243	0.0209402	0.0212991	0.0589045	0.0448463	0.0409409	0.0289257	0.0540695	0.0448112	0.0764674	0.0201396	0.0381463	0.0319704	0.0366779	3.823566	0.288672	0.276338	0.10223	0.33276	3.27155
36	0	-14765.2	-14775.5	10.2582	0.144193	0.0942386	0.116084	0.0894909	0.104226	0.0896613	0.130492	0.069986	0.0888136	0.19423	0.0862427	0.0898033	0.0946944	0.0907004	0.10435	0.123461	0.132091	0.117457	0.125389	0.0849156	0.0874451	0.0986685	0.169081	0.045258	0.0185863	0.0716045	0.0566655	0.0474457	0.0268319	0.0245624	0.0254177	0.0229456	0.0225527	0.103435	0.0580042	0.0169536	0.0545686	0.0270163	0.0155021	0.02148	0.0341359	0.0456698	0.0407478	4.17912	0.286669	0.286285	0.0911043	0.335942	3.3051
37	1	-14774	-14785.1	11.1244	0.146058	0.0889295	0.111494	0.0772501	0.102213	0.0649897	0.123109	0.0861183	0.0857562	0.181042	0.096211	0.067552	0.103296	0.102699	0.113249	0.139542	0.145832	0.108788	0.125185	0.0618036	0.078426	0.0722082	0.166005	0.0341692	0.0179452	0.0593734	0.0148995	0.0335955	0.0299433	0.0391832	0.0160118	0.0345963	0.0722513	0.0411862	0.0540254	0.0182306	0.0532526	0.0574569	0.0737623	0.0278929	0.0385837	0.0304284	0.0451487	3.823566	0.287888	0.275588	0.101953	0.334571	3.239693
38	0	-14790	-14799.8	9.78657	0.129571	0.101388	0.0918787	0.112587	0.138063	0.0813953	0.125565	0.0974207	0.0842774	0.180486	0.0934339	0.105281	0.114659	0.0887915	0.10435	0.128888	0.133739	0.123338	0.134204	0.0754643	0.0596136	0.0775964	0.158698	0.0545973	0.0164329	0.0602744	0.042938	0.0458792	0.0433966	0.0246401	0.0149315	0.0154464	0.0372986	0.108483	0.0511681	0.0348408	0.0539949	0.032067	0.0144013	0.0268798	0.0388999	0.0482366	0.0628742	3.907496	0.277926	0.308051	0.088326	0.325697	3.368369
39	1	-14773	-14782.5	9.53345	0.140202	0.0778298	0.096306	0.109815	0.114951	0.0856124	0.140183	0.0930484	0.102537	0.159667	0.0867266	0.0785969	0.0989689	0.107901	0.125711	0.148627	0.152585	0.092153	0.115695	0.0888364	0.0846496	0.0847353	0.19035	0.0413086	0.0294981	0.0317313	0.0170072	0.0285897	0.0359276	0.0268915	0.02549	0.0206528	0.0521261	0.049733	0.0388922	0.0309999	0.0616501	0.0480545	0.0870599	0.0314706	0.0519029	0.0336481	0.0734449	3.939216	0.287888	0.275588	0.101953	0.334571	3.391767
