Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	pi[1]	pi[2]	pi[3]	pi[4]	TL
30	0	-15371	-15386.2	15.1698	0.117417	0.102237	0.10758	0.0940561	0.10773	0.077501	0.131516	0.0945455	0.0780925	0.176724	0.0935624	0.0709245	0.0985127	0.0937334	0.100951	0.117386	0.124522	0.118347	0.101164	0.0884284	0.0752907	0.0857936	0.168443	0.0174	0.0583629	0.0409194	0.0519397	0.0323306	0.0195334	0.0361263	0.0367604	0.0253516	0.0445924	0.0206989	0.02368	0.0254563	0.0546096	0.033842	0.0390919	0.0452274	0.00634721	0.0359699	0.0784099	0.211611	0.300097	0.102456	0.385837	3.151108
31	1	-15381.6	-15396.4	14.8342	0.119205	0.0981435	0.0900955	0.120125	0.0888909	0.0910387	0.119664	0.0770195	0.0898402	0.163307	0.0855027	0.0637971	0.114468	0.11048	0.116224	0.139704	0.114727	0.126158	0.0960917	0.0850754	0.0926049	0.0800536	0.197824	0.0343642	0.0358849	0.0487688	0.0242488	0.0275663	0.0263607	0.0235259	0.0627222	0.032932	0.0298965	0.0222508	0.03735	0.0406695	0.0594548	0.0329037	0.0195307	0.0288868	0.0155352	0.050861	0.050916	0.215101	0.294414	0.100232	0.390252	3.184668
32	0	-15373.6	-15387.7	14.0711	0.128965	0.0983822	0.10758	0.117622	0.108665	0.0933015	0.143759	0.0874478	0.0930063	0.189457	0.0955109	0.0947774	0.0870925	0.112026	0.116053	0.13051	0.141077	0.10684	0.125022	0.0775526	0.106232	0.0786592	0.173737	0.0197897	0.0418453	0.0431814	0.0400553	0.0321942	0.0358363	0.0339002	0.0402521	0.0265195	0.0457726	0.0132929	0.0238303	0.0125485	0.0347214	0.0269452	0.0440185	0.026783	0.0119062	0.0193085	0.0749999	0.213959	0.303427	0.108118	0.374496	3.260977
33	1	-15377.2	-15391.9	14.6588	0.12423	0.0985508	0.0907035	0.089287	0.115291	0.0703043	0.127661	0.0914965	0.103563	0.170192	0.0912496	0.0739155	0.0971512	0.11048	0.116224	0.106177	0.12084	0.100555	0.126978	0.0693412	0.10979	0.0721975	0.171634	0.0653503	0.060498	0.0391153	0.0302051	0.0178057	0.0395986	0.0225689	0.0369273	0.0313012	0.0173092	0.0102008	0.0378748	0.0373966	0.0815047	0.0465573	0.0177961	0.0470465	0.0236441	0.0413175	0.0503729	0.215101	0.294414	0.100232	0.390252	3.202202
34	0	-15369.4	-15384.4	15.0058	0.117558	0.0911216	0.0993113	0.0955768	0.102596	0.0736448	0.111459	0.0769895	0.0977192	0.164722	0.0842301	0.0740866	0.110514	0.120469	0.110632	0.157688	0.128456	0.110313	0.106369	0.0775526	0.0921802	0.0809363	0.166325	0.0327629	0.0520587	0.0421372	0.0336007	0.0383697	0.0207504	0.0177955	0.0368327	0.0258356	0.0423934	0.0306913	0.0297669	0.0318852	0.0420226	0.0169182	0.0463038	0.0370775	0.0219977	0.0352877	0.0825634	0.228435	0.297839	0.106127	0.367599	3.167501
35	1	-15377.3	-15392.2	14.9173	0.12423	0.113147	0.106261	0.0757353	0.114641	0.0727216	0.125528	0.0854805	0.092835	0.174448	0.0704394	0.0785222	0.085692	0.0927716	0.102837	0.124193	0.12084	0.10838	0.147408	0.0792319	0.0725676	0.0825602	0.169399	0.0579345	0.0309316	0.0433525	0.0369249	0.0410567	0.0376658	0.0216421	0.0378591	0.0382615	0.0219129	0.0182012	0.0288017	0.0411385	0.0702464	0.064161	0.0331286	0.0461927	0.00840311	0.0310516	0.0476196	0.215101	0.294414	0.100232	0.390252	3.176355
36	0	-15371.4	-15386.6	15.2456	0.140399	0.102444	0.0919964	0.0995152	0.129125	0.0760994	0.132654	0.0894936	0.0938863	0.161631	0.0700402	0.0833487	0.0920942	0.104695	0.110049	0.118867	0.110211	0.110653	0.123358	0.0792175	0.0881019	0.0849011	0.168181	0.0406686	0.0508676	0.0338401	0.0216007	0.0347161	0.0220247	0.0280952	0.0247138	0.0132547	0.0462665	0.0293306	0.016289	0.0317477	0.0358211	0.0127268	0.044488	0.0430967	0.0249834	0.0393928	0.0886407	0.228435	0.297839	0.106127	0.367599	3.143528
37	1	-15372.3	-15387.6	15.3217	0.107761	0.105218	0.105159	0.0999688	0.11469	0.0814545	0.135664	0.0672301	0.092835	0.174448	0.0877327	0.0785222	0.107375	0.0863838	0.104838	0.104008	0.117246	0.131367	0.119575	0.0729308	0.082925	0.0767656	0.169399	0.0410085	0.04724	0.0338167	0.0364945	0.033106	0.0398813	0.0134507	0.0350666	0.0219659	0.0287337	0.0137099	0.027547	0.0408087	0.0893013	0.0418863	0.0285922	0.0381132	0.0194842	0.0417919	0.0404217	0.224184	0.29271	0.111099	0.372007	3.135917
38	0	-15392.7	-15406.8	14.1432	0.138645	0.113172	0.0916402	0.117979	0.127347	0.092797	0.127387	0.0716981	0.0835376	0.16808	0.0944107	0.0788295	0.0676738	0.117491	0.110049	0.143017	0.132502	0.0849794	0.112507	0.0845374	0.0835964	0.0716494	0.157358	0.0255027	0.0614155	0.0536449	0.0270063	0.031121	0.018406	0.0256125	0.0286901	0.0280955	0.0475852	0.0217515	0.0323327	0.0350246	0.0608103	0.0264477	0.0406383	0.0674148	0.028388	0.0351453	0.087845	0.230869	0.299784	0.0993486	0.369999	3.253763
39	1	-15369.7	-15384.8	15.1041	0.120381	0.108763	0.104975	0.104329	0.105682	0.0872211	0.13377	0.0773944	0.0991229	0.152025	0.096601	0.0600033	0.107951	0.10253	0.121088	0.116953	0.117246	0.108743	0.104702	0.0748105	0.0793346	0.0739655	0.17165	0.0529706	0.0465396	0.0304825	0.0193349	0.020947	0.0202809	0.0293387	0.0441472	0.0270298	0.0269732	0.0161882	0.0366888	0.0363679	0.0893013	0.0373487	0.025638	0.0426994	0.0258492	0.0526497	0.0476617	0.214463	0.295138	0.10155	0.388849	3.157678
