Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
300	-14765.7	-14775	9.25249	0.131743	0.101091	0.0806581	0.108442	0.102978	0.100949	0.146018	0.0757755	0.0961898	0.19917	0.0724085	0.089602	0.120093	0.103334	0.125405	0.146831	0.141741	0.133264	0.135339	0.0613098	0.103687	0.0777805	0.186569	0.0488113	0.0446177	0.035139	0.0309263	0.0277836	0.0178965	0.032784	0.115148	0.0317744	0.0217582	0.0274507	0.0322518	0.0447034	0.03123	0.0210024	0.049628	0.0289166	0.050642	0.0365873	0.0436327	4.05319	0.271698	0.295635	0.107977	0.324689	3.41306
310	-14768.1	-14778.7	10.6621	0.133774	0.0889468	0.0909221	0.082291	0.129968	0.0822688	0.129428	0.0730799	0.100724	0.167119	0.0624564	0.0936896	0.0927678	0.103843	0.0893384	0.128932	0.153162	0.108875	0.130403	0.0666101	0.0734433	0.0818415	0.20316	0.0511389	0.0537784	0.019596	0.0348452	0.0346369	0.0200855	0.0154369	0.100487	0.0585093	0.0283692	0.0228241	0.0579344	0.0423946	0.0200851	0.0167171	0.0544934	0.0305798	0.0562634	0.0479048	0.0389737	4.05319	0.279567	0.294739	0.0943875	0.331306	3.272095
320	-14769.7	-14779.5	9.77075	0.136113	0.105211	0.107938	0.0791411	0.113614	0.0667146	0.144232	0.0943038	0.107898	0.168665	0.0835179	0.0808745	0.111521	0.137775	0.0947066	0.130954	0.137015	0.0949063	0.153457	0.0684343	0.0804932	0.0760403	0.171856	0.063241	0.0472303	0.0416368	0.0373727	0.0238752	0.0247358	0.0217474	0.0917543	0.0402746	0.0234602	0.0338165	0.0346925	0.054271	0.0347226	0.0161976	0.0501122	0.0382916	0.0669446	0.0276777	0.050255	3.94495	0.27004	0.294673	0.0977417	0.337545	3.367692
330	-14776	-14785.8	9.79742	0.144779	0.0939021	0.112787	0.0804321	0.101221	0.0908878	0.125593	0.089427	0.10366	0.186973	0.0835179	0.06159	0.0931222	0.103888	0.0915123	0.141639	0.114004	0.112259	0.130112	0.0852857	0.106468	0.0853936	0.170094	0.0648369	0.053926	0.048091	0.0256657	0.0250327	0.0142548	0.0266072	0.10063	0.0423666	0.0268355	0.0242341	0.0406387	0.0401193	0.0214203	0.0441059	0.0522441	0.0398423	0.0530836	0.0483312	0.0642112	3.94495	0.272684	0.293606	0.0973876	0.336322	3.365026
340	-14764.8	-14775.7	10.8795	0.150886	0.0843669	0.116735	0.0853827	0.105321	0.0692143	0.143887	0.0847078	0.0927395	0.157722	0.0666324	0.0879658	0.101896	0.103717	0.0983684	0.141639	0.134678	0.131718	0.12812	0.0843713	0.0970285	0.0678215	0.170162	0.0513161	0.0480809	0.017564	0.0253157	0.0327346	0.0240435	0.0257921	0.0991656	0.0530704	0.0217497	0.0241225	0.0473513	0.0378456	0.018394	0.0122766	0.0574124	0.0200344	0.0621397	0.0437009	0.034688	3.861293	0.273747	0.28249	0.10613	0.337633	3.261879
350	-14780.3	-14790	9.66534	0.161722	0.0929935	0.106108	0.114069	0.128737	0.0922493	0.13839	0.0748934	0.0900979	0.20743	0.0808761	0.0837105	0.115926	0.104836	0.100914	0.145234	0.132355	0.0994514	0.127785	0.0509053	0.0733279	0.102046	0.187412	0.0525203	0.0600294	0.0370544	0.0168626	0.0227431	0.0227769	0.0191241	0.101497	0.0515548	0.0154959	0.0252928	0.0291441	0.0328759	0.0428255	0.00682384	0.0587646	0.0282317	0.0621397	0.0403665	0.0407667	3.942831	0.273747	0.28249	0.10613	0.337633	3.378361
360	-14772.2	-14782.8	10.6345	0.133596	0.093941	0.0808131	0.0903284	0.120229	0.070562	0.146575	0.0760298	0.0990968	0.188796	0.0687309	0.0771746	0.10575	0.125252	0.118128	0.127256	0.130168	0.105965	0.115098	0.105529	0.0744575	0.0816753	0.193479	0.0483373	0.0552778	0.0327524	0.0291895	0.0218023	0.0190119	0.0261504	0.0851252	0.0493341	0.016039	0.0384063	0.0399399	0.0369079	0.0249649	0.0049263	0.0439143	0.044224	0.0621397	0.0380481	0.0323936	4.008427	0.270683	0.279328	0.104942	0.345046	3.277516
370	-14770.9	-14780.8	9.93122	0.137232	0.103847	0.101964	0.102147	0.109474	0.101702	0.122137	0.0973339	0.0931243	0.173245	0.0633516	0.0687682	0.0936275	0.112754	0.117131	0.135582	0.133261	0.135819	0.149843	0.0734625	0.0960387	0.0816753	0.180666	0.0481194	0.0541485	0.0231829	0.0190411	0.016909	0.0235761	0.0275985	0.0885602	0.0259878	0.0296624	0.0285537	0.0436358	0.0332405	0.0444399	0.00902911	0.0487852	0.0400399	0.0469934	0.0458039	0.0553147	4.196163	0.270154	0.279531	0.105018	0.345297	3.336809
380	-14769.4	-14779.6	10.241	0.138772	0.0939917	0.111754	0.102147	0.109474	0.0701504	0.155326	0.0727389	0.107904	0.172266	0.0678129	0.0751821	0.0952402	0.0877152	0.131356	0.135582	0.121075	0.110671	0.142472	0.0840675	0.0868591	0.0928495	0.184129	0.0539007	0.0569208	0.0255605	0.0214655	0.0205813	0.0137013	0.0240629	0.119086	0.0221887	0.014362	0.0287183	0.0461345	0.0454821	0.0403414	0.00785497	0.063729	0.0372009	0.0536852	0.0337527	0.0464055	3.878649	0.27467	0.284203	0.106774	0.334353	3.32467
390	-14768.4	-14778.9	10.4719	0.131579	0.094006	0.111879	0.0919157	0.0998086	0.0767081	0.124062	0.0962339	0.0867665	0.162287	0.0840638	0.106053	0.111371	0.107026	0.0907447	0.156038	0.124855	0.110671	0.145274	0.0864809	0.103264	0.0791574	0.175394	0.0415352	0.0548914	0.0291994	0.022837	0.0296214	0.0160846	0.0247417	0.0953483	0.0266632	0.00778987	0.0170253	0.0357415	0.0580727	0.0392778	0.0138495	0.0600038	0.0255357	0.0537615	0.0336916	0.0535638	3.990032	0.275981	0.297603	0.103213	0.323203	3.294874
