Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	kappa	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
300	-14765.8	-14775	9.177	0.16808	0.100344	0.110892	0.0942587	0.109998	0.101696	0.128296	0.0816135	0.111299	0.203468	0.0641993	0.0857096	0.0961621	0.124375	0.116891	0.128015	0.148142	0.100381	0.11965	0.0804591	0.0950609	0.0871924	0.18162	0.0618199	0.0214135	0.0328436	0.05324	0.0195841	0.0269808	0.0281365	0.016744	0.0386145	0.044381	0.0138615	0.0271102	0.102646	0.0522487	0.0255169	0.051278	0.0388988	0.0299565	0.059826	0.0247696	4.275196	0.280514	0.28285	0.103029	0.333607	3.407671
310	-14766.6	-14776.7	10.0628	0.130419	0.0803147	0.0873777	0.0942587	0.135688	0.078189	0.153535	0.0845375	0.0975277	0.177806	0.0839563	0.088053	0.103498	0.0986139	0.112707	0.137117	0.143692	0.103687	0.152774	0.083992	0.0911727	0.0808864	0.18162	0.0618199	0.0259678	0.0331695	0.0311438	0.0193364	0.0326226	0.0219845	0.0326681	0.0441213	0.0383965	0.0300073	0.0215122	0.090995	0.0532437	0.0153927	0.041468	0.0265391	0.0323178	0.0672446	0.0186874	4.258395	0.280514	0.28285	0.103029	0.333607	3.320061
320	-14771.3	-14780.6	9.25856	0.14346	0.117145	0.11723	0.116676	0.111608	0.0998287	0.134586	0.0836717	0.0872489	0.170251	0.083614	0.0676337	0.119465	0.107969	0.129039	0.131554	0.158469	0.135957	0.123168	0.087399	0.0981596	0.0751489	0.159239	0.0506743	0.0406789	0.0185907	0.039004	0.0234344	0.0209722	0.0330921	0.0223257	0.0318758	0.0338292	0.0114387	0.0207342	0.101676	0.0541779	0.0082516	0.0711016	0.0391894	0.0352609	0.0437119	0.0456538	4.19411	0.274422	0.285245	0.103902	0.336431	3.404194
330	-14775.8	-14786.1	10.296	0.146384	0.119899	0.0956709	0.0946216	0.100788	0.0790137	0.137975	0.0817919	0.096711	0.168265	0.0939198	0.0727878	0.117041	0.103386	0.110019	0.132736	0.114341	0.135256	0.136288	0.0486379	0.100516	0.0641201	0.195968	0.0542229	0.0318654	0.0188662	0.0585437	0.0191077	0.0402216	0.0301482	0.0341301	0.0457548	0.0381074	0.0193805	0.0268591	0.0827147	0.0644419	0.00994212	0.0541487	0.0307491	0.0432741	0.0622962	0.0185475	3.711498	0.274422	0.285245	0.103902	0.336431	3.329458
340	-14772.4	-14782.8	10.4456	0.118678	0.106963	0.081041	0.0783233	0.109791	0.0897264	0.147388	0.104922	0.0884792	0.187806	0.0927876	0.0732985	0.111729	0.0955158	0.132586	0.132736	0.11392	0.118352	0.131985	0.0787961	0.0684983	0.0800905	0.204801	0.0503433	0.0321806	0.0296931	0.0290602	0.0243382	0.0278009	0.0353722	0.0257445	0.0437644	0.0395943	0.00686481	0.0308769	0.108805	0.0483451	0.0155994	0.0567024	0.0258318	0.0566589	0.0466491	0.0320586	3.711498	0.276261	0.278745	0.104585	0.340409	3.314497
350	-14777.7	-14788.9	11.197	0.128718	0.0882113	0.0787947	0.0803053	0.10439	0.0974007	0.121591	0.077388	0.0842957	0.15215	0.079247	0.0896374	0.123839	0.0904302	0.110727	0.139932	0.156163	0.136279	0.124839	0.0782511	0.0684983	0.0830779	0.178909	0.0339408	0.0277118	0.0451711	0.0335301	0.00858276	0.0451919	0.0259	0.0203031	0.0444818	0.0378688	0.0121607	0.029197	0.0929424	0.0629341	0.0186969	0.0743744	0.0297905	0.0318506	0.0616507	0.0272086	3.756403	0.271492	0.291198	0.102779	0.334531	3.236563
360	-14782.2	-14792	9.81314	0.128718	0.0930924	0.116206	0.101086	0.106102	0.0764827	0.127838	0.109059	0.0724565	0.192916	0.0730599	0.0904189	0.10861	0.0983739	0.120502	0.15674	0.11905	0.103394	0.135203	0.0761964	0.0979752	0.103076	0.197003	0.0556447	0.0246882	0.026159	0.0515681	0.0153928	0.0359391	0.0355872	0.0231387	0.0248397	0.0345497	0.0295304	0.0298885	0.115662	0.052204	0.0145557	0.0451808	0.0307303	0.0340569	0.0362116	0.0325278	4.144658	0.268094	0.279273	0.101493	0.351141	3.351615
370	-14776.7	-14787.3	10.5462	0.120529	0.107633	0.112766	0.0711923	0.100313	0.0805715	0.133916	0.0901254	0.0883863	0.177408	0.081749	0.0856694	0.110226	0.102736	0.113672	0.132764	0.122707	0.130325	0.10802	0.0910968	0.122879	0.0844023	0.179927	0.0628988	0.0202813	0.0200047	0.0458565	0.0242601	0.0357113	0.0367421	0.0250822	0.0269149	0.0651859	0.034883	0.0111519	0.0909638	0.0504956	0.0199206	0.0319889	0.0320217	0.0496638	0.0549699	0.0133741	3.760641	0.264119	0.303472	0.0969577	0.335451	3.301386
380	-14775.8	-14784.7	8.91595	0.147447	0.129622	0.0951254	0.0916376	0.0915931	0.0722304	0.134328	0.0726987	0.079906	0.206841	0.0736374	0.0849718	0.110226	0.118229	0.120624	0.132152	0.132299	0.124472	0.152092	0.082284	0.0784784	0.0943039	0.203478	0.0700597	0.0395062	0.0267606	0.0389456	0.0197279	0.0245239	0.0404791	0.0451328	0.0312029	0.0444186	0.0248433	0.0287487	0.0762024	0.0727196	0.0265697	0.0618487	0.0335341	0.0365824	0.0518274	0.0387651	3.814803	0.268026	0.293168	0.0983919	0.340413	3.461075
390	-14776.3	-14785	8.76608	0.134177	0.108331	0.0951254	0.107992	0.11029	0.0876288	0.122644	0.0906997	0.0997849	0.214302	0.0727312	0.0753768	0.101589	0.120824	0.116999	0.137957	0.13176	0.154781	0.142869	0.0793985	0.101169	0.066758	0.208781	0.0495801	0.029603	0.0539642	0.0330668	0.0173561	0.0276593	0.022115	0.0328583	0.0348837	0.0373707	0.0129921	0.0273056	0.126315	0.0560004	0.016192	0.0505758	0.0226088	0.0504555	0.0503145	0.0428766	3.814803	0.272408	0.299325	0.0993658	0.328901	3.476062
400	-14770.1	-14780.3	10.2303	0.144192	0.0850244	0.123715	0.105961	0.114341	0.0910008	0.126988	0.0897131	0.094994	0.17318	0.0733505	0.0809722	0.0905808	0.101893	0.12176	0.127091	0.123422	0.108382	0.132866	0.0785924	0.0841468	0.0892572	0.17558	0.03596	0.0246225	0.0283099	0.0550939	0.0206005	0.0403771	0.0350032	0.0368274	0.0376242	0.0444181	0.00798298	0.0412192	0.107304	0.0581395	0.03305	0.0502039	0.0231463	0.0194778	0.0678905	0.0227902	3.857256	0.272408	0.299325	0.0993658	0.328901	3.327042
410	-14767.1	-14777	9.85487	0.155846	0.100517	0.106449	0.101253	0.116536	0.0961404	0.14518	0.080875	0.101015	0.153771	0.0672223	0.095779	0.101991	0.11807	0.117338	0.153835	0.142404	0.111346	0.133906	0.069309	0.0727225	0.0876154	0.185028	0.0365967	0.027443	0.0379832	0.0336519	0.0293785	0.0180912	0.0266038	0.0274336	0.0525265	0.0460358	0.0229123	0.0189989	0.0924404	0.064229	0.0124758	0.0584422	0.0202074	0.041036	0.0518835	0.0231942	4.004539	0.27018	0.296877	0.098553	0.334391	3.355713
