Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	TreeLengths
300	-15802.6	-15815.2	12.5774	0.130728	0.100694	0.10233	0.0984206	0.115723	0.0931838	0.123718	0.0758562	0.0898433	0.17884	0.0762803	0.0907159	0.0986499	0.0967767	0.128661	0.110041	0.106336	0.123005	0.124815	0.0466922	0.0870537	0.082611	0.191309	0.0203807	0.0774591	0.0318381	0.0652205	0.0276974	0.0159243	0.0422775	0.0670754	0.0215022	0.0174304	0.0293702	0.0461943	0.0446005	0.0405261	0.0308908	0.0428208	0.0277794	0.0213084	0.0446687	0.0439214	3.231172
310	-15803.6	-15817	13.4065	0.118898	0.0878927	0.0942059	0.112964	0.1087	0.0720648	0.130827	0.068191	0.0835801	0.181804	0.0886564	0.0994879	0.0829842	0.111779	0.0946118	0.113539	0.126662	0.108871	0.124815	0.0786334	0.0805061	0.0815916	0.145844	0.020916	0.0741238	0.0244252	0.0612174	0.045954	0.0243508	0.0251366	0.0410414	0.0227777	0.0280856	0.0334652	0.037167	0.0361296	0.0507831	0.0468182	0.0367226	0.0195892	0.0330014	0.0467993	0.0426431	3.148256
320	-15800	-15812.8	12.8116	0.140825	0.096396	0.0980676	0.116596	0.102046	0.0771445	0.117676	0.0644776	0.116543	0.16805	0.0665324	0.0981256	0.0896612	0.0780272	0.101225	0.140882	0.117435	0.126912	0.134027	0.0819418	0.0880474	0.073423	0.150899	0.0305877	0.0793945	0.0300201	0.0400172	0.0267168	0.0259956	0.0369808	0.0555156	0.0351771	0.0242556	0.0240411	0.0618627	0.0347236	0.0342461	0.0406482	0.0380344	0.025653	0.0372866	0.0423041	0.0393317	3.207753
330	-15803.7	-15816.4	12.7381	0.125672	0.0914759	0.100299	0.109102	0.132964	0.0908964	0.126387	0.0844512	0.099995	0.164378	0.077254	0.075848	0.115847	0.122474	0.0976081	0.135532	0.119646	0.105783	0.105436	0.0789659	0.0929709	0.0752155	0.164273	0.0133259	0.0858565	0.0303385	0.0347939	0.0270715	0.0276899	0.0247923	0.0631507	0.0229669	0.0309938	0.0222023	0.032093	0.048274	0.0428652	0.0305343	0.0580841	0.0273967	0.0208504	0.0407528	0.0385918	3.2151
340	-15796.9	-15809.9	13.0459	0.125877	0.104739	0.0971513	0.110551	0.126952	0.0759587	0.122261	0.0796274	0.109016	0.164928	0.0811066	0.0773699	0.0871375	0.095604	0.0987036	0.122245	0.142016	0.113295	0.127767	0.0677852	0.076924	0.0978154	0.151018	0.00631366	0.0822812	0.0294966	0.0544276	0.0372655	0.0234564	0.0243644	0.053967	0.0215351	0.0348764	0.0335569	0.0440144	0.0327796	0.0304081	0.0466753	0.0430951	0.0209451	0.0285144	0.0395951	0.0408993	3.184315
350	-15805.8	-15817.5	11.6326	0.107879	0.0932409	0.10126	0.0885652	0.110028	0.0812955	0.147709	0.0884843	0.115249	0.167801	0.0904741	0.110897	0.0942219	0.095604	0.116572	0.155018	0.127521	0.110578	0.129897	0.0969256	0.0826113	0.102727	0.159131	0.0177584	0.0927248	0.0204496	0.0398617	0.0289824	0.0321074	0.0320135	0.0542061	0.0161914	0.0323912	0.0374893	0.0471965	0.0309383	0.0411647	0.0315661	0.0525677	0.0224368	0.0358242	0.0461358	0.0399556	3.325652
360	-15800.4	-15813.2	12.7441	0.117245	0.0928741	0.0846936	0.10483	0.125957	0.0778955	0.124769	0.0773518	0.104852	0.160399	0.0768538	0.0711523	0.0814789	0.0993029	0.106287	0.129375	0.14763	0.124268	0.135653	0.0584866	0.102884	0.0870985	0.164507	0.0307661	0.0823727	0.0273452	0.0480459	0.0235376	0.0153287	0.0386157	0.0461935	0.0365626	0.0216426	0.0235225	0.0689736	0.0346673	0.0446886	0.0319656	0.0435253	0.0270043	0.026683	0.0493858	0.0378274	3.214497
370	-15804	-15816.9	12.9156	0.120963	0.116807	0.105806	0.110534	0.126369	0.0584661	0.122903	0.0798813	0.0950622	0.171853	0.0732208	0.0963036	0.0819817	0.0893412	0.108539	0.134658	0.127515	0.123063	0.119793	0.0620172	0.0885698	0.0826764	0.161262	0.0191017	0.0701423	0.0536394	0.0438068	0.039316	0.0170855	0.0248156	0.0454531	0.0217267	0.0306916	0.0204449	0.0578463	0.0280029	0.0373841	0.0397388	0.0355068	0.021036	0.0340388	0.0592464	0.0407381	3.197345
380	-15808.7	-15822.7	14.0027	0.118687	0.0820561	0.0849164	0.140897	0.112241	0.0661461	0.135575	0.0772339	0.098044	0.183328	0.0681794	0.075213	0.0819817	0.120875	0.106532	0.130409	0.10432	0.105454	0.119793	0.0781255	0.0910462	0.0841764	0.140197	0.0322383	0.0654203	0.0218803	0.0387164	0.0306288	0.0316425	0.0363736	0.0399095	0.0227103	0.0301826	0.02828	0.0314702	0.0440629	0.0381513	0.0305106	0.038872	0.0126257	0.0291037	0.0489628	0.031466	3.088635
390	-15811.1	-15824.6	13.4348	0.129978	0.0801857	0.0851992	0.115204	0.103762	0.0755087	0.1426	0.103331	0.0890196	0.156701	0.072514	0.0916615	0.0938586	0.0928003	0.134223	0.134045	0.110535	0.111191	0.112422	0.0687678	0.0863955	0.0708028	0.166883	0.0306699	0.0760052	0.0213589	0.0479547	0.0524969	0.0316425	0.0269686	0.0466057	0.0404529	0.036358	0.0218835	0.031946	0.0200219	0.0549426	0.0305009	0.0383407	0.0172052	0.0253078	0.0367324	0.0304445	3.145429
