Iteration	Posterior	Likelihood	Prior	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	pi[1]	pi[2]	pi[3]	pi[4]	TreeLengths
300	-15375.8	-15390.3	14.431	0.140784	0.0883523	0.0879914	0.0931671	0.13173	0.0675755	0.114377	0.0947951	0.0897195	0.180268	0.0733726	0.0990157	0.10006	0.10269	0.117646	0.137638	0.123352	0.113606	0.12555	0.0819919	0.0837264	0.105077	0.162886	0.056829	0.0356559	0.019202	0.0271173	0.0295382	0.0456309	0.0399376	0.0378769	0.0427113	0.0743232	0.0316961	0.0282048	0.0526656	0.01539	0.00763749	0.0393477	0.0216477	0.0339961	0.0478238	0.0223857	0.220169	0.292841	0.103089	0.3839	3.224987
310	-15371.8	-15387.9	16.1047	0.117597	0.0982757	0.0946577	0.106412	0.0929246	0.090646	0.135685	0.0958732	0.0897195	0.154986	0.080547	0.068037	0.0975994	0.0827359	0.0973652	0.108866	0.12311	0.121754	0.117609	0.0723518	0.0927085	0.0739408	0.157084	0.0348447	0.0348049	0.0414042	0.0221747	0.0415624	0.0463344	0.0403696	0.026326	0.0469187	0.0730398	0.0254987	0.0217785	0.0491257	0.0204317	0.0123232	0.0158217	0.0435437	0.0296145	0.0388521	0.0223635	0.218834	0.288459	0.114553	0.378155	3.057618
320	-15370.4	-15385.3	14.9208	0.12024	0.0928589	0.0895306	0.101663	0.102252	0.0890812	0.130986	0.0858934	0.110282	0.152626	0.0806496	0.0783661	0.0975257	0.104549	0.117251	0.106339	0.146532	0.123648	0.139765	0.0828995	0.0934493	0.081535	0.150703	0.029018	0.0382812	0.0250889	0.010373	0.0241545	0.0482275	0.0427554	0.0303849	0.036941	0.073496	0.0260688	0.0372271	0.0489343	0.0311392	0.0146478	0.0215477	0.0319542	0.0435712	0.0459984	0.0375644	0.213203	0.295008	0.105049	0.38674	3.176001
330	-15366.9	-15381.7	14.7654	0.125009	0.0944176	0.102495	0.116033	0.112008	0.0653726	0.129407	0.0701819	0.0945298	0.171921	0.0799596	0.0898578	0.0941791	0.0976694	0.111242	0.132049	0.133217	0.0990978	0.130072	0.0757459	0.0929371	0.0932824	0.180852	0.0493562	0.0317296	0.0315334	0.0176452	0.0289361	0.0343012	0.0524467	0.0291414	0.0331364	0.0923481	0.0275239	0.0451519	0.0380892	0.022001	0.0142097	0.0191996	0.0289314	0.0377545	0.0350416	0.0315274	0.211525	0.295637	0.105273	0.387565	3.191541
340	-15368.5	-15383.7	15.1507	0.139436	0.0991433	0.104509	0.115238	0.111939	0.0809355	0.139404	0.0746337	0.0992412	0.175079	0.0682756	0.067935	0.100131	0.0865002	0.122453	0.111326	0.113002	0.118927	0.117726	0.0794147	0.0864702	0.0661158	0.167153	0.0535943	0.0326457	0.025815	0.0229015	0.0283312	0.0381646	0.052701	0.0215558	0.0432327	0.0713354	0.0233439	0.0383515	0.0377306	0.0167273	0.0212809	0.0300024	0.0470166	0.0392505	0.0407347	0.0233155	0.205806	0.297781	0.106036	0.390376	3.153019
350	-15380.9	-15396.5	15.6195	0.119211	0.0976482	0.101664	0.103344	0.105177	0.0772344	0.112731	0.0666049	0.0986087	0.180459	0.0684332	0.100908	0.102276	0.0918717	0.0955139	0.145322	0.129521	0.105339	0.116654	0.0798989	0.096367	0.0835926	0.196548	0.0513914	0.0195512	0.0200663	0.0224725	0.0383877	0.0447539	0.0309416	0.0317574	0.036869	0.0601778	0.0107358	0.0237264	0.0377306	0.0354952	0.014599	0.0122769	0.0378844	0.0263245	0.0412248	0.0348356	0.203928	0.295064	0.114193	0.386815	3.106129
360	-15383.6	-15398.7	15.1382	0.107813	0.0776316	0.117002	0.0941879	0.0984397	0.0751556	0.107044	0.0864419	0.10156	0.15976	0.0879182	0.0790675	0.0973877	0.118468	0.114885	0.117924	0.12019	0.12364	0.123722	0.0798989	0.0837795	0.0853269	0.162737	0.0448571	0.0280605	0.021821	0.0377962	0.0167886	0.0543661	0.045441	0.0314267	0.0434235	0.0678114	0.0401778	0.0415634	0.0373198	0.00781635	0.0173177	0.0379283	0.033978	0.0466207	0.0470882	0.0326787	0.214148	0.303147	0.110021	0.372684	3.154261
370	-15378.1	-15393	14.9569	0.109266	0.0933533	0.125092	0.0941879	0.1127	0.0874487	0.127446	0.085712	0.0920151	0.175907	0.069524	0.0807425	0.0808183	0.100649	0.0908195	0.129922	0.127327	0.122439	0.131928	0.0584034	0.0851882	0.0659418	0.173232	0.0395115	0.0662218	0.0380763	0.0289918	0.0336633	0.0477051	0.0586903	0.0268532	0.0451044	0.0747068	0.0135042	0.0312275	0.0354625	0.0303153	0.0212145	0.0222543	0.0289974	0.0403936	0.0409832	0.028451	0.215322	0.302694	0.109857	0.372127	3.172392
380	-15370.5	-15386.3	15.7463	0.121978	0.107234	0.100212	0.0841305	0.0858179	0.0864495	0.111543	0.0639588	0.0891497	0.166841	0.0817809	0.0771466	0.0769442	0.0915197	0.119073	0.126618	0.11759	0.104629	0.112411	0.067841	0.0902937	0.0824456	0.178267	0.0428758	0.0377547	0.0310104	0.0287146	0.0355035	0.0655798	0.0525294	0.0319975	0.0407921	0.0834436	0.0226311	0.0366947	0.0361684	0.0212155	0.019571	0.00926645	0.0254678	0.0383315	0.0576916	0.0323439	0.217507	0.289874	0.103427	0.389192	3.093458
390	-15380.6	-15396.2	15.6016	0.124463	0.102935	0.117894	0.100906	0.102975	0.0828157	0.11055	0.0738326	0.0961142	0.172723	0.099883	0.0635205	0.0844312	0.0922633	0.118733	0.0981575	0.14022	0.14817	0.114333	0.0781244	0.0893078	0.067991	0.146404	0.0299816	0.0413644	0.0315954	0.0303163	0.0267226	0.0496206	0.0518872	0.0341015	0.0361387	0.0830712	0.0210598	0.031531	0.0376754	0.012197	0.0144088	0.0171423	0.0364777	0.0235407	0.0473353	0.0250131	0.228018	0.285091	0.0958713	0.39102	3.107928
