Iteration	Posterior	Likelihood	Prior	bl[1]	bl[2]	bl[3]	bl[4]	bl[5]	bl[6]	bl[7]	bl[8]	bl[9]	bl[10]	bl[11]	bl[12]	bl[13]	bl[14]	bl[15]	bl[16]	bl[17]	bl[18]	bl[19]	bl[20]	bl[21]	bl[22]	bl[23]	bl[24]	bl[25]	bl[26]	bl[27]	bl[28]	bl[29]	bl[30]	bl[31]	bl[32]	bl[33]	bl[34]	bl[35]	bl[36]	bl[37]	bl[38]	bl[39]	bl[40]	bl[41]	bl[42]	bl[43]	TL
340	-15797.9	-15810	12.1576	0.118724	0.105795	0.0939944	0.111931	0.13834	0.0777193	0.138495	0.0828823	0.114576	0.175045	0.0837973	0.0785189	0.0971342	0.104626	0.100866	0.116204	0.129609	0.103337	0.133765	0.0843968	0.0729107	0.0851803	0.181631	0.0372342	0.0311454	0.0216809	0.0353478	0.0306169	0.0351532	0.035201	0.0346663	0.0471963	0.0809271	0.0286046	0.0368375	0.0290452	0.0323879	0.0375729	0.0656227	0.0220964	0.0274575	0.0393106	0.0355658	3.273148
350	-15801.1	-15813.6	12.4274	0.127933	0.0829496	0.0852843	0.124429	0.108779	0.0881248	0.121217	0.0851998	0.101371	0.17969	0.068979	0.0759862	0.101171	0.107133	0.102441	0.126021	0.135114	0.110878	0.1235	0.0805843	0.076716	0.0860566	0.160192	0.0497996	0.0327014	0.0113546	0.0489125	0.051061	0.0326015	0.0358395	0.0421403	0.058518	0.079239	0.0224629	0.0333479	0.0269885	0.0175499	0.0217011	0.0619271	0.0288462	0.0534115	0.0513834	0.0266332	3.246168
360	-15798.8	-15811	12.1841	0.136739	0.10378	0.110996	0.107432	0.113707	0.0789818	0.1212	0.0843369	0.101888	0.160524	0.0936864	0.0759862	0.100768	0.10388	0.102441	0.127198	0.124719	0.104468	0.126487	0.0726034	0.113848	0.0925495	0.182069	0.0360777	0.0243261	0.0124275	0.0349825	0.0580112	0.0497141	0.0335479	0.0475946	0.0509105	0.0591774	0.0236452	0.0224201	0.0174132	0.0242322	0.0309034	0.0567749	0.0292439	0.0436861	0.0388253	0.0362987	3.270502
370	-15812.1	-15824.8	12.7026	0.127296	0.101538	0.10835	0.123356	0.117088	0.0632983	0.133434	0.0577414	0.112411	0.171377	0.0748989	0.0653184	0.0998103	0.0899565	0.0869992	0.141001	0.120417	0.105354	0.118697	0.0861121	0.0824505	0.0961245	0.169536	0.0380977	0.0274809	0.0224576	0.0481396	0.0525602	0.0305253	0.0405711	0.035399	0.0479252	0.0476632	0.0533866	0.0141447	0.0119837	0.0273576	0.0316481	0.0610068	0.0308217	0.0319771	0.0606506	0.0522831	3.218643
380	-15819.9	-15831.5	11.6593	0.165492	0.0849843	0.141172	0.100536	0.115956	0.0692692	0.115851	0.0787094	0.139178	0.155691	0.0763877	0.0932801	0.0964364	0.0911053	0.131437	0.134988	0.124263	0.116071	0.133379	0.0594743	0.0843593	0.0733575	0.154346	0.0388952	0.0434855	0.0220117	0.0408265	0.0474758	0.0259492	0.0226182	0.0375492	0.0429695	0.0730808	0.0241422	0.028289	0.0278412	0.0289698	0.0334133	0.0467137	0.0293566	0.0507718	0.0596056	0.0632943	3.322983
390	-15804.1	-15816.8	12.6579	0.143943	0.119824	0.0834339	0.107865	0.115956	0.0754875	0.117987	0.0829799	0.0933496	0.184677	0.0749999	0.101541	0.0932338	0.0913873	0.108321	0.127407	0.133642	0.102119	0.129229	0.0696158	0.0959678	0.0775283	0.134545	0.0258331	0.0411486	0.014856	0.0453305	0.0376823	0.0479113	0.0331773	0.0275615	0.0537256	0.0832628	0.0281633	0.0359813	0.0273429	0.0226749	0.0344046	0.0706248	0.0229008	0.021799	0.0549363	0.0287592	3.223115
400	-15803.6	-15816.5	12.9111	0.1431	0.102456	0.0899928	0.0934005	0.11718	0.0837667	0.106933	0.0770614	0.108581	0.153534	0.0641505	0.0882297	0.10065	0.0796519	0.12206	0.130487	0.11825	0.0963703	0.122315	0.0697994	0.126022	0.087295	0.181083	0.0218381	0.0293985	0.0300619	0.0348084	0.0409052	0.0432967	0.0331773	0.0317825	0.0408408	0.0832628	0.0289367	0.0328554	0.024445	0.0259231	0.0275853	0.0630158	0.0265752	0.0350228	0.0464793	0.035217	3.197798
410	-15800.4	-15813.5	13.0971	0.118723	0.108207	0.102001	0.0951387	0.112404	0.0887285	0.130071	0.0791846	0.0841136	0.158188	0.0875857	0.0879206	0.0982352	0.106616	0.106813	0.13051	0.134004	0.0963703	0.12279	0.0697715	0.0720938	0.0860989	0.156193	0.0334659	0.027291	0.0113881	0.0426422	0.0446789	0.0285356	0.0303802	0.0378891	0.0528962	0.0788734	0.0341216	0.051667	0.0250613	0.0419555	0.0299976	0.0359206	0.027724	0.0333329	0.053354	0.0262645	3.179201
420	-15812.2	-15824.8	12.6457	0.126729	0.115507	0.102596	0.113706	0.127561	0.0796102	0.11363	0.0712459	0.118364	0.167076	0.0737459	0.0822359	0.0953283	0.0908395	0.106813	0.103248	0.132607	0.103037	0.126285	0.0621473	0.0908421	0.0835184	0.177007	0.0243723	0.0481333	0.0267917	0.0485888	0.026284	0.0304765	0.0406573	0.0395701	0.0432796	0.0808149	0.0408767	0.0271271	0.0193909	0.0226372	0.0296253	0.0711429	0.0357746	0.0532999	0.0240852	0.0277275	3.224335
430	-15806	-15818.5	12.5638	0.145725	0.106281	0.0842892	0.104127	0.118397	0.0852205	0.145039	0.0671767	0.109522	0.167582	0.0681385	0.0763551	0.0980543	0.104801	0.111987	0.11058	0.131519	0.112866	0.113485	0.079669	0.105641	0.085586	0.177007	0.024885	0.0304011	0.0219257	0.0367196	0.0365322	0.0458855	0.0352874	0.0420594	0.0377418	0.0801854	0.0442679	0.0195181	0.0249297	0.0266526	0.0366225	0.0638794	0.0292247	0.0285315	0.0225857	0.0356435	3.232527
