Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pinvar	TL
300	-14510.1	-14517.1	7.00672	2.004124	0.151163	0.124555	0.101308	0.120894	0.145765	0.072044	0.13007	0.0899314	0.0963599	0.18827	0.0840823	0.0903487	0.106235	0.105564	0.141711	0.120969	0.162635	0.112011	0.132834	0.0814063	0.105626	0.112577	0.212494	0.0507364	0.0125213	0.0255644	0.0541537	0.018541	0.030823	0.0287699	0.0407124	0.0389623	0.0210986	0.0882408	0.046635	0.0553052	0.0460741	0.014556	0.024296	0.0221506	0.0807521	0.0152633	0.0548986	0.293766	0.655451	1.07009	1.98069	0.3909938	3.558908
310	-14516.2	-14521.7	5.54465	2.400429	0.173444	0.14611	0.091788	0.107456	0.107861	0.092025	0.145101	0.0890927	0.115966	0.204247	0.0914777	0.0929748	0.106235	0.11747	0.112687	0.142818	0.12965	0.173412	0.175634	0.0934145	0.0907561	0.0751674	0.241209	0.061272	0.0122964	0.0255644	0.0314508	0.0211106	0.0428454	0.0234968	0.0394276	0.019489	0.0276755	0.0955915	0.056122	0.064932	0.0543803	0.0249421	0.0490519	0.0293015	0.067227	0.00820144	0.0597893	0.336808	0.691799	1.0774	1.89399	0.3909938	3.730162
320	-14517.4	-14523.4	6.09243	2.859617	0.151517	0.107806	0.125898	0.0950551	0.125431	0.0830287	0.145101	0.110103	0.109939	0.213513	0.0888785	0.111078	0.123993	0.127617	0.136149	0.167077	0.159338	0.120181	0.148231	0.0859293	0.12605	0.060347	0.220202	0.0461235	0.0161857	0.0278363	0.0450415	0.0172727	0.0310698	0.0327405	0.0401998	0.0324779	0.0152518	0.102081	0.071069	0.064932	0.0322089	0.024104	0.0402963	0.0299517	0.0389734	0.00799351	0.0323959	0.378101	0.723447	1.08173	1.81672	0.3909938	3.690666
330	-14511.8	-14516.9	5.10594	2.308577	0.168548	0.113186	0.137038	0.109786	0.135839	0.0720435	0.14064	0.110599	0.127243	0.234224	0.0990598	0.097506	0.116163	0.0975486	0.146877	0.153606	0.135732	0.118074	0.13629	0.0906163	0.0909036	0.108542	0.236939	0.0660463	0.0138005	0.0313088	0.0203875	0.00994079	0.0412832	0.0101086	0.027866	0.0275129	0.0173427	0.095106	0.0695147	0.070803	0.0413369	0.0273297	0.0466037	0.038601	0.0824109	0.00977718	0.0453329	0.327523	0.68427	1.07609	1.91212	0.3909938	3.769417
340	-14518.5	-14524.4	5.87053	2.035678	0.170992	0.111444	0.135902	0.122719	0.125633	0.0820218	0.161261	0.0850872	0.095119	0.223291	0.113179	0.0793742	0.103025	0.117895	0.10841	0.140569	0.130992	0.118074	0.124981	0.0939527	0.125995	0.0913581	0.238346	0.0599961	0.0192602	0.0405732	0.0330338	0.0100783	0.0352529	0.00667581	0.0263509	0.0294557	0.0327722	0.110252	0.0535093	0.0510988	0.0364977	0.0195855	0.0291702	0.032464	0.0882819	0.0135162	0.0476221	0.297497	0.658755	1.07086	1.97289	0.3909938	3.675069
350	-14517.6	-14520.8	3.23984	2.341447	0.181983	0.0898966	0.1305	0.110389	0.16213	0.0897416	0.148042	0.10973	0.11645	0.234479	0.100976	0.111599	0.100906	0.11769	0.118905	0.13344	0.170405	0.147781	0.13895	0.0748534	0.0970419	0.109302	0.221684	0.0593258	0.0262238	0.0527054	0.0417659	0.0152349	0.0468956	0.0369826	0.0514482	0.0334521	0.0214884	0.126788	0.0598942	0.0640321	0.0544124	0.00252819	0.0214108	0.0362211	0.0908081	0.0316334	0.0676278	0.33089	0.687019	1.07658	1.90551	0.3630575	3.957751
360	-14517.2	-14520.5	3.29545	2.080146	0.179219	0.127537	0.143067	0.0922138	0.150495	0.0874983	0.178876	0.103796	0.134775	0.227846	0.0796807	0.100879	0.119881	0.120575	0.112759	0.136586	0.161752	0.123278	0.143265	0.119659	0.0914657	0.128342	0.226004	0.0505679	0.022454	0.0292856	0.0369441	0.0119961	0.0386235	0.0211531	0.0491263	0.0300047	0.0198603	0.110042	0.048363	0.0664794	0.0682547	0.0122628	0.0170735	0.0522084	0.0958059	0.0246823	0.0413394	0.302658	0.663274	1.07187	1.9622	0.3630575	3.935976
370	-14515.7	-14519.7	4.05892	2.416695	0.185913	0.0883805	0.112512	0.0952744	0.144761	0.0930043	0.163139	0.116109	0.136606	0.19279	0.0951976	0.0954434	0.125223	0.0956545	0.153404	0.142871	0.139167	0.131417	0.126641	0.0921561	0.126414	0.0759797	0.271798	0.0658672	0.0228	0.022189	0.0270442	0.0167678	0.0473106	0.0297909	0.0485494	0.0263181	0.0401462	0.0951266	0.069967	0.0732216	0.0597541	0.0111847	0.0303033	0.0294429	0.0951143	0.00902881	0.0597059	0.338414	0.693084	1.07762	1.89089	0.3751191	3.879489
380	-14516.3	-14522.1	5.77839	2.118325	0.192101	0.123169	0.14516	0.114457	0.133309	0.0664286	0.130181	0.0638072	0.105639	0.203937	0.081249	0.0902403	0.102747	0.100305	0.141798	0.12998	0.12558	0.155283	0.167014	0.063691	0.119564	0.0898782	0.256541	0.0658188	0.0160001	0.0267981	0.0272048	0.016406	0.0332917	0.0317418	0.0365144	0.019357	0.0219765	0.109968	0.0756141	0.0568635	0.046828	0.0169433	0.0223723	0.0159313	0.0788446	0.0107302	0.0591764	0.307002	0.667034	1.07269	1.95328	0.3751191	3.690437
390	-14515.8	-14518.1	2.26917	2.04121	0.201407	0.120998	0.120688	0.107204	0.141743	0.089989	0.212745	0.105087	0.101975	0.227841	0.0878554	0.0816217	0.100866	0.127719	0.151162	0.178627	0.179149	0.124188	0.168862	0.0762146	0.134699	0.095431	0.249484	0.0658188	0.0145988	0.0382668	0.0212398	0.0289059	0.0411641	0.042996	0.0349377	0.0291153	0.0267654	0.115789	0.0504459	0.0544813	0.0529228	0.0173152	0.0346899	0.0327181	0.0985781	0.00758583	0.0417502	0.298145	0.659326	1.07099	1.97154	0.3751191	4.035639
400	-14513.1	-14517	3.88649	1.930307	0.182359	0.115195	0.121765	0.116556	0.141684	0.0888022	0.145836	0.106898	0.0968493	0.233116	0.065656	0.0864129	0.10382	0.129404	0.147128	0.168224	0.14347	0.124255	0.149155	0.066722	0.113597	0.111028	0.241631	0.0501814	0.035353	0.0396525	0.0191085	0.0240793	0.030653	0.0240272	0.0363822	0.0241638	0.0431693	0.124216	0.0674782	0.0772708	0.0565802	0.0111898	0.0411788	0.0196679	0.0904666	0.00526829	0.0448867	0.284811	0.647392	1.06814	1.99965	0.3751191	3.864536
