Iteration	Replicate_ID	Posterior	Likelihood	Prior	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	br_lens[34]	br_lens[35]	br_lens[36]	br_lens[37]	br_lens[38]	br_lens[39]	br_lens[40]	br_lens[41]	br_lens[42]	br_lens[43]	TL
30	0	-15805.9	-15818.2	12.3086	0.166163	0.103069	0.096129	0.0945471	0.115155	0.0636755	0.116398	0.0863303	0.0937597	0.174692	0.0728205	0.0949059	0.0841664	0.0990867	0.108147	0.129661	0.119459	0.0946115	0.144253	0.09028	0.074134	0.0906886	0.182653	0.0324607	0.0242434	0.052016	0.0483092	0.0124905	0.0513786	0.0336672	0.0727369	0.0323861	0.0313872	0.0714637	0.0182719	0.0289399	0.0330183	0.0309935	0.0354195	0.049597	0.0246981	0.0395346	0.0402533	3.25805
31	1	-15804.6	-15816.9	12.271	0.14193	0.119017	0.110051	0.082547	0.116861	0.0918052	0.116547	0.0936376	0.0900753	0.164149	0.0886375	0.0882331	0.110091	0.0818612	0.113711	0.113102	0.11789	0.135579	0.144608	0.0852636	0.0976366	0.0622594	0.167237	0.0516985	0.0258124	0.0239755	0.0491136	0.0249016	0.0204213	0.0511285	0.081009	0.0415117	0.0415353	0.0339481	0.0100034	0.0254752	0.0396585	0.0391273	0.0325802	0.0273114	0.0467067	0.0312043	0.0319556	3.261808
32	0	-15804.6	-15817	12.3411	0.123911	0.103069	0.12417	0.0936311	0.11648	0.0874569	0.113119	0.0788576	0.10116	0.165264	0.0725625	0.0948889	0.0979327	0.0911939	0.11247	0.140629	0.107086	0.112826	0.147432	0.0764248	0.0779002	0.0746292	0.175392	0.0243029	0.0222543	0.0600024	0.0487152	0.0334894	0.0362502	0.0267243	0.10317	0.032727	0.0352439	0.0509609	0.016865	0.0286068	0.0319458	0.0333711	0.0260508	0.0402631	0.0346168	0.0500439	0.0307071	3.254798
33	1	-15812.5	-15825	12.5253	0.113982	0.090367	0.114845	0.107654	0.123303	0.0717643	0.118221	0.0962488	0.0911945	0.140067	0.088943	0.0844497	0.0958096	0.0880258	0.0989545	0.16714	0.11789	0.106713	0.12315	0.0944178	0.0823925	0.0890201	0.199057	0.0565055	0.0232629	0.0267039	0.0378661	0.0230422	0.052581	0.0432398	0.0710613	0.047867	0.0379947	0.0339126	0.0157698	0.0265933	0.0401197	0.0257794	0.0282113	0.032845	0.0447096	0.0398862	0.0248209	3.236382
34	0	-15804.6	-15817.1	12.4874	0.12028	0.100807	0.104054	0.0836627	0.114652	0.086496	0.127335	0.0795312	0.0876601	0.157376	0.085833	0.0931494	0.114277	0.121039	0.104098	0.153749	0.114021	0.111663	0.121554	0.0822555	0.085479	0.0737172	0.184293	0.01691	0.0261217	0.0503652	0.0636096	0.0233879	0.0422271	0.0201477	0.0918881	0.0292807	0.0353248	0.052494	0.0265532	0.0248777	0.0252888	0.0337706	0.0192815	0.0522832	0.0207261	0.0441982	0.0344515	3.240172
35	1	-15809.1	-15822.1	13.0175	0.120366	0.106496	0.12292	0.0774017	0.108368	0.0937433	0.11895	0.0740993	0.10524	0.169925	0.0840098	0.0825902	0.091275	0.0970481	0.0931427	0.123458	0.127528	0.12629	0.128064	0.0744611	0.0812614	0.0884975	0.193578	0.0530585	0.0223455	0.015276	0.0547804	0.0169011	0.0283236	0.0549732	0.0773394	0.0550148	0.0345743	0.0238808	0.0189133	0.0314056	0.0259161	0.0220824	0.0245492	0.043973	0.026746	0.0261171	0.0422764	3.187159
36	0	-15801.5	-15814.3	12.8393	0.144869	0.103332	0.0905958	0.0937731	0.113757	0.0932809	0.131702	0.0952935	0.0886711	0.157376	0.08258	0.0804516	0.114277	0.107297	0.110101	0.153749	0.117702	0.111663	0.11693	0.0843826	0.0805704	0.0793956	0.168497	0.025876	0.0286223	0.0495179	0.0511583	0.011233	0.0441524	0.0277397	0.0777849	0.0225432	0.0442821	0.0441985	0.019115	0.0243751	0.0176069	0.0306194	0.0332904	0.0450444	0.0184504	0.0389648	0.0301524	3.204974
37	1	-15801.9	-15815.4	13.4829	0.158699	0.103435	0.09801	0.0923266	0.105875	0.0921703	0.132763	0.0609331	0.114075	0.165033	0.0657964	0.0825902	0.0975808	0.0935098	0.114388	0.110101	0.109206	0.12071	0.100317	0.0793629	0.0787286	0.0941267	0.168683	0.0469571	0.0194346	0.0140864	0.0443809	0.0241513	0.0265281	0.0573914	0.0751258	0.050935	0.0386141	0.028239	0.0166208	0.0310715	0.0236958	0.0400791	0.0204878	0.0308013	0.0512053	0.0324728	0.029923	3.140622
38	0	-15807	-15819.7	12.6568	0.130459	0.0927545	0.0913114	0.0963691	0.128839	0.0643939	0.133838	0.0946606	0.0783028	0.157376	0.0903023	0.072008	0.0949728	0.0868397	0.107022	0.128777	0.149852	0.109912	0.125309	0.0816374	0.107939	0.0836846	0.159133	0.0382944	0.0222508	0.0694424	0.0306396	0.0263285	0.0388751	0.0375323	0.106521	0.0409342	0.0310121	0.0431158	0.0141329	0.0327914	0.03782	0.0370759	0.0182871	0.0405201	0.026524	0.0329309	0.0325036	3.223227
39	1	-15813.1	-15826.8	13.7235	0.154948	0.101764	0.112995	0.0750716	0.129826	0.0810821	0.111905	0.0908026	0.0925509	0.135883	0.0609221	0.0950422	0.0975239	0.0722842	0.0970626	0.115081	0.10325	0.103188	0.135267	0.0808529	0.0902332	0.0819387	0.155833	0.0664648	0.0460931	0.0192625	0.0495489	0.0325947	0.0176164	0.0458324	0.0862057	0.0332279	0.0471042	0.0301567	0.0196563	0.0377583	0.0386642	0.0311647	0.0200423	0.0281823	0.051974	0.0165889	0.023111	3.116554
